Source	Target	Weight
الري	الهمذاني	2
مروالروذ	هراة	2
الحنفي	السمرقندي	3
الالبيري	الاندلسي	2
الاندلسي	الجذامي	2
القاضي	مراكش	10
هراة	واسط	2
الصوفي	الكشميهني	4
الجزيرة	بجاية	2
الامير	بلنسية	3
المقريء	حران	2
الاصبهاني	مصر	4
الحميري	مراكش	2
افريقية	غرناطة	2
الحنفي	الدامغاني	4
البنجديهي	الفقيه	4
العطار	الفقيه	3
الصوفي	اليمن	2
الطرابلسي	طرابلس	6
الطبيب	اليهودي	4
انطاكية	بعلبك	2
الشروطي	دمشق	2
الواسطي	شيراز	3
السرقسطي	باجة	2
حران	مكة	3
القصري	بغداد	2
السمعاني	المقريء	3
الفراوي	نيسابور	3
الحنفي	المولي	5
المغربي	تلمسان	3
الحبشي	الطواشي	2
الضرير	الهمذاني	2
اشبيلية	الاشبيلي	36
التميمي	الشام	3
الحجاب	المولي	4
الاشبيلي	البارع	2
الشاعر	العقيلي	2
الجبال	مصر	5
الحنبلي	الموصل	6
الجزيرة	الشام	13
الامير	المدينة	2
بلخ	كرمان	4
البغدادي	القرشي	4
القيسي	دمشق	3
الخراساني	الفقيه	2
البغدادي	الرازي	6
دمشق	سلماس	3
القاضي	اوريولة	3
العراق	مكة	8
المعبر	بخارى	2
العبيدي	المولي	3
الصقلي	مصر	2
اللءلءي	المقريء	3
الصوفي	الفارسي	3
القانت	بغداد	2
سمرقند	فرغانة	2
الفقيه	المخزومي	4
الدمشقي	نصيبين	2
جرجان	هراة	3
المغربي	فاس	3
القرشي	الهاشمي	2
الخباز	المقريء	2
الحلة	الشيعي	7
القاهرة	حران	3
الفقيه	قم	2
الاطرابلسي	المقريء	3
الانصاري	الشافعي	5
القيسراني	حلب	2
المحدث	مصر	7
الموصلي	مصر	5
الحميري	الصنهاجي	2
الموصل	الهمذاني	2
امل	هراة	2
الاصبهاني	السمعاني	2
انطاكية	سنجار	2
مصر	هراة	2
الدمشقي	الكناني	2
افريقية	المغرب	6
المءذن	دمشق	3
المءذن	المصري	2
السلفي	اللخمي	2
اصبهان	حلب	7
مكة	واسط	4
الانباري	البغدادي	3
الامير	الشامي	2
الشام	قاسيون	4
القيروان	وهران	2
البغدادي	المقريء	91
اشبيلية	البلنسي	2
