source	target	weight
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Barakāt b. ʿAjlān 293	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Barsbāy al-Bajāsī 894	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Barsbāy al-Nāṣirī 105	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Baybars b. Baqr 90	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Birdibak al-ʿAjamī al-ʾAʿwar 177	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Bīsaq al-Yashbakī 1169	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Dawlāt Bāy al-Muʾayyadī 273	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Duqmāq al-Yashbakī 1412	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Fayrūz al-Nawrūzī 708	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Ghanām 2429	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Ibn Jahān Kīr 3036	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jaghnūs 2976	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jalāl al-Dīn Muḥammad al-Maḥallī 4018	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jamāl al-Dīn b. Kātib Jakam 571	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jarbāsh Qāshiq al-Karīmī 51	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jawhar  al-Manjakī al-Ḥabashī 1184	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jawhar al-Nawrūzī al-Ḥabashī  1636	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jawhar al-Timrāzī al-Ḥabashī 3793	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Maḥmūdī 181	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Nawrūzī Nāʾib Baʿalbak 1157	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Nāṣirī 811	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Qaramānī al-Ẓāhirī 516	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Tājī al-Muʾayyadī 1062	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Yashbakī 844	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-ʾAshrafī al-Ẓarīf 900	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānibak al-Ẓāhirī Nāʾib Jidda 869	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Jānim al-Muʾayyadī 1176	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Kamāl al-Dīn b. al-Humām 2670	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Kasbāy al-Muʾayyadī 799	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Khayrbak al-Muʾayyadī 974	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Lājīn al-Ẓāhirī Jaqmaq 1167	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Mughulbāy al-Shihābī 1509	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Muḥammad al-Wanāʾī 530	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Muḥammad b. Saʿīd 2324	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Muḥammad b. Tūqān 2307	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Muḥammad b. al-Tanasī 210	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Muḥibb al-Dīn al-Ṭabarī 1120	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Nūkār al-Nāṣirī 933	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qarāja al-Ẓāhirī Jaqmaq 709	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qarājā (Qarāqujā) al-Ḥasanī  31	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qarājā al-ʿUmarī 658	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qashtam al-Nāṣirī 1516	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qawām al-Dīn Ḥusayn 2551	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qānī Bāy al-Bahlawān 277	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qānī Bāy al-Jārkasī 44	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qānī Bāy al-Ḥamzāwī 176	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qāsim b. Jumʿa al-Qasāsī  1025	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Qāsim b. Qarā Yuluk 2715	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Shams al-Dīn al-Qāyātī al-Shāfiʿī 836	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Sharaf al-Dīn Yaḥyā al-Munāwī 1396	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Shihāb al- Dīn ʾAḥmad b. Ḥajar 93	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Shādibak al-Jakamī 782	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Shāhīn al-Sāqī al-Ẓāhirī 1653	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Shāhīn al-Ṭūghānī 775	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Sunqur al-Ẓāhirī  904	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Sūdūn al-Muḥammadī 3164	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Sūdūn al-Qaramānī 1111	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Sūdūn al-Sūdūnī 655	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Taghrī Birdī al-Jārkasī 1144	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Taghrī Birdī al-Qillāwī 969	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Taghrī Birmish al-Jalālī 716	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Taghrī Birmish al-Zardkāsh 651	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Tanam al-Muʾayyadī 227	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Tanam min Baḥshāyish 1419	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Tanbak al-Khāṣṣakī 2312	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Timrāz al-Muʾayyadī al-Muṣāriʿ 737	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Timrāz al-ʾAshrafī 1529	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Timurbughā al-Ẓāhirī 754	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Timurbāy 2951	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Walī al-Dīn Muḥammad al-Safṭī 111	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Walī al-Dīn Muḥammad al-Sanbāṭī al-Mālikī 1179	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yalbughā al-Jārkasī 521	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yalkhujā min Māmish 652	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yashbak al-Muʾayyadī al-Ṣūfī 919	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yashbak al-Nāṣirī 3648	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yashbak al-ʾAtābakī al-Mushidd 28	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yashbak al-Ḥamzāwī 1126	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yashbak al-Ẓāhirī 944	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yulūk b. Ramaḍān 558	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yār ʿAlī al-ʿAjamī al-Ṭawīl 565	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yūnus al-Dimashqī 3217	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yūnus al-ʿAlāʾī  753	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yūsuf b. Māzin 581	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Yūsuf b. Yaghmūr 3329	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Zayn al-Dīn Murjān al-Maḥmūdī 1043	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Zayn al-Dīn Yaḥyā 118	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	al-Malik al-Ṣāliḥ Muḥammad 882	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	al-Muʾayyad Shaykh 12	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	al-Nāṣir Faraj b. Barqūq 14	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	al-Qāʾim bi-ʾAmr Allāh Ḥamza 3031	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	al-ʾAshraf Barsbāy 24	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	1
