source	target	weight
Badr al-Dīn Ḥusayn 913	ibnat ʾimraʾat Ḥusayn 1037	1
Baktamur Jullaq 220	Fāṭima 2402	1
Baktamur Jullaq 220	Khawand bint Ṣuruq 4312	1
Baktamur Jullaq 220	ʾIbrāhīm b. al-Muʾayyad Shaykh 217	1
Baktamur Jullaq 220	ʾIsfandiyār b. ʾAbī Yazīd 3392	1
Barsbāy al-Bajāsī 894	Birdibak al-ʾAshrafī 901	1
Barsbāy al-Bajāsī 894	Yūnus al-ʾĀqbāy  862	1
Barsbāy al-Bajāsī 894	Zaynab bt. Ḥasan b. Khāṣṣ Bak 1239	1
Barsbāy al-Bajāsī 894	al-Nāṣirī Muḥammad 81	1
Barsbāy al-Bajāsī 894	al-ʾAshraf Barsbāy 24	1
Barsbāy al-Bajāsī 894	al-Ẓāhir Jaqmaq 2	1
Barsbāy al-Bajāsī 894	zawjat al-ʾAshraf ʾĪnāl 1115	1
Baybughā al-Muẓaffarī 74	Jānibāk al-Ḥamzāwī 291	1
Baybughā al-Muẓaffarī 74	Timrāz al-Nāṣirī 1003	1
Bint Birdibak 2245	Khadīja bint ʾĀqṭuwah  3959	1
Bint Birdibak 2245	Khawand bint ʾĀqbughā al-Dawādār 4053	1
Bint Birdibak 2245	Shāh Zādah bint Ibn ʿUthmān 2983	1
Bint Birdibak 2245	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	1
Bint Birdibak 2245	ʾĀqṭuwah al-ʾAshrafī 3957	1
Bint Dawlāt Bāy al-Muʾayyadī 4160	Dawlāt Bāy al-Muʾayyadī 273	1
Bint Dawlāt Bāy al-Muʾayyadī 4160	Jān Sūz* al-Jārkasīya 2407	1
Bint Kurtbāy 2242	Bint Sulaymān b. Dulghādir 2779	1
Bint Kurtbāy 2242	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085	1
Bint Kurtbāy 2242	Jarbāsh Qāshiq al-Karīmī 51	1
Bint Kurtbāy 2242	Kamāl al-Dīn b. al-Bārizī 99	1
Bint Kurtbāy 2242	Mughul bint al-Bārizī 319	1
Bint Kurtbāy 2242	Nafīsa bt. Muḥammad Bak 562	1
Bint Kurtbāy 2242	Shāh Zādah bint Ibn ʿUthmān 2983	1
Bint Kurtbāy 2242	Sūdūn al-Muḥammadī 3164	1
Bint Kurtbāy 2242	Zaynab bt. Jarbāsh Qāshiq 555	1
Bint Kurtbāy 2242	ʾUzbak min Ṭuṭukh al-Sāqī 876	1
Bint Qānī Bāy 3719	al-Ẓāhir Jaqmaq 2	1
Bint Sulaymān b. Dulghādir 2779	Birdibak al-ʾAshrafī 901	1
Bint Sulaymān b. Dulghādir 2779	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085	1
