source	target	weight
Badr al-Dīn al-ʾAqṣarāʾī 3581	Badr al-Dīn b. Muzhir 1079	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Bint al-Muʾayyad 2930	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Dawlāt Bāy al-Muʾayyadī 273	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Dāwud b. al-Kuwayz 203	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Fakhr al-Dīn b. ʾAbi l-Faraj 214	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Faraj b. Sakiz Bāy 2635	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Fatḥ Allāh al-Tabrīzī 16	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Fayrūz al-Jārkasī al-Sāqī 19	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Fāris al-Maḥmūdī 136	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jakam al-Nūrī al-Muʾayyadī 1175	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jaqmaq al-ʾArghūn Shāwī 34	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jawhar al-Timrāzī al-Ḥabashī 3793	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānibak al-Maḥmūdī 181	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānibak al-Muʾayyadī al-Bajmaqdār 1525	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānibak al-Muʾayyadī al-Shamsī 3911	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānibak al-Sāqī 3562	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānibak al-Tājī al-Muʾayyadī 1062	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānibāk al-Muʾayyadī al-Dawādār 213	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānim al-Muʾayyadī 1176	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānim al-Muʾayyadī 3925	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Jānim al-Muʾayyadī 4112	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Kasbāy al-Muʾayyadī 799	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Khalīl b. al-Kuwayz 1534	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Khawand 1116	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Khawand Khadīja 631	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Khawand Zaynab 3597	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Khayrbak al-Muʾayyadī 974	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Kizil Nāʾib Bahasnā 289	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Manjak 4454	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Masʿūd al-ʿAjamī 2497	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Maḥmūd Shāh al-Yazīdī 13	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Mubārak Shāh al-Rammāḥ 703	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Mughulbāy al-Muʾayyadī 1650	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Muqbil al-Ḥusāmī al-Dawādār 946	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Muḥammad al-Ḥamatī* 4476	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Muḥammad b. Manjak 161	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Muḥammad b. Shaykh 1118	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Muḥammad b. al-Tabbānī 50	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Muḥibb al-Dīn ʾAḥmad al-Baghdādī 553	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Māmish al-Muʾayyadī 1666	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Mūsā b. Shaykh 1073	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Nafisāʾ bint al-Muʾayyad 3809	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Niẓām al-Dīn Yaḥyā al-Sīrāmī 4304	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Nāṣir al-Dīn b. al-Bārizī 71	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qarā al-Muʾayyadī 285	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qashtam al-Muʾayyadī 512	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qaṣrūh min Timrāz al-Ẓāhirī 145	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qujqār Jaghtāy al-Zardkāsh 1619	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qujqār al-Qurdumī 247	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qurqmās Sayyidī al-Kabīr 53	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qurqmās al-Shaʿbānī 11	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Quṭlubāy 1074	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Quṭlūbughā al-Tanamī 442	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qāni Bāy al-Muʾayyadī Qarā Saqal 1497	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qānim al-Tājir 1075	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qānī Bāy al-Muʾayyadī  3189	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qānī Bāy al-Muʾayyadī Qarā Saqal 1346	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qānī Bāy al-Ḥamzāwī 176	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Qānṣūh al-Nawrūzī 344	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Satīta 1589	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sayf al-Dīn Jānibak b. ʿAbd Allāh al-Qawāmī al-Muʾayyadī 3708	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sayf al-Dīn Yakhshī Bāy 354	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Saʿādāt 1365	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sharaf al-Dīn Yaʿqūb al-Tabbānī 63	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Shaʿbān b. al-Yaghmūrī 907	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Shihāb al-Dīn ʾAḥmad al-ʾAdhraʿī 3007	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn Qarāqāsh al-ʾĪnālī 232	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Lakkāshī 1670	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muʾayyadī al-Faqīh al-ʾAshqar 3833	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muḥammadī 3164	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muḥammadī Talī 69	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Muḥammadī ʾAtmakjī 129	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Sayfī Bulāṭ al-ʾAʿrāj 306	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-ʾAbūbakrī al-Muʾayyadī 2509	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Sūdūn al-Ḥamawī 1642	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taghrī Birdī al-Bashbughāwī  1889	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taghrī Birdī al-Muʾayyadī 930	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taghrī Birmish al-Jalālī 716	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-Muʾayyadī 227	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-Sāqī al-Muʾayyadī 4198	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-ʿAlāʾī 349	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanam al-Ḥasanī 1117	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanbak al-Muʾayyadī 2374	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanbak al-Muṣāriʿ 3041	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tanbak al-Ẓāhirī 592	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taqī al-Dīn Yaḥyā al-Kirmānī 4624	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Taqī al-Dīn b. Ḥijja 175	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timrāz al-Muʾayyadī al-Khāzindār 3030	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timrāz al-Muʾayyadī al-Muṣāriʿ 737	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timrāz al-ʾAʿwar 3740	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Timurbāy al-Yūsufī 2315	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tāj al-Dīn Tāj al-Shawīkī 116	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Tīmūrlank 1249	1
