19/03/0842	unknown 0	appoints	Fayrūz al-Jārkasī al-Sāqī 19	zimām dūr sulṭānīya (sulṭān)
01/08/0815	unknown 0	appoints	al-Muʾayyad Shaykh 12	sulṭān
20/03/0842	unknown 0	appoints	ʾĀqbughā al-Timrāzī  25	ʾamīr silāḥ (sulṭān)
20/03/0842	unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr majlis (sulṭān)
20/03/0842	unknown 0	appoints	Taghrī Birdī al-Muʾadhī 29	ḥājib ḥujjāb (sulṭān)
20/03/0842	unknown 0	appoints	Qarājā (Qarāqujā) al-Ḥasanī  31	raʾs nawba kabīr (sulṭān)
20/03/0842	unknown 0	appoints	ʾUrkmās al-Ẓāhirī al-Dawādār 30	dawādār kabīr (sulṭān)
20/03/0842	unknown 0	appoints	Timrāz al-Qurmishī  27	ʾamīr ʾākhūr kabīr (sulṭān)
08/08/0815	al-Muʾayyad Shaykh 12	appoints	Nawrūz al-Ḥāfiẓī 35	nāʾib (Dimashq/Damascus)
08/08/0815	al-Muʾayyad Shaykh 12	appoints	Yalbughā al-Nāṣirī al-Ẓāhirī 39	ʾatābak ʿasākir (al-Qāhira/Cairo)
08/08/0815	al-Muʾayyad Shaykh 12	appoints	Ṭūghān al-Ḥasanī 40	dawādār kabīr (sulṭān)
08/08/0815	al-Muʾayyad Shaykh 12	appoints	Shāhīn al-ʾAfram 41	ʾamīr silāḥ (sulṭān)
08/08/0815	al-Muʾayyad Shaykh 12	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	ʾamīr ʾākhūr kabīr (sulṭān)
08/08/0815	al-Muʾayyad Shaykh 12	appoints	Sūdūn al-ʾAshqar 43	raʾs nawba kabīr (sulṭān)
22/03/0842	unknown 0	appoints	Tanam al-Muʾayyadī 227	muḥtasib (al-Qāhira/Cairo)
22/03/0842	unknown 0	appoints	Qānī Bāy al-Jārkasī 44	shādd shirābkhānāh (sulṭān)
22/03/0842	unknown 0	appoints	Qānibak al-ʾAshrafī 46	khāzindār (sulṭān)
08/08/0815	Nawrūz al-Ḥāfiẓī 35	appoints	ʿĪsā al-Maghribī 48	qāḍī quḍāt al-Mālikīya (Dimashq/Damascus)
11/08/0815	unknown 0	appoints	Muḥammad b. al-Tabbānī 50	qāḍī ʿaskar
25/03/0842	al-Ẓāhir Jaqmaq 2	promotes	Jarbāsh Qāshiq al-Karīmī 51	ʾamīr 100 (al-Qāhira/Cairo)
03/04/0842	unknown 0	appoints	Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	nāẓir bīmāristān Manṣūrī (al-Qāhira/Cairo)
31/10/0815	unknown 0	appoints	Damurdāsh al-Muḥammadī 67	nāʾib (Ḥalab/Aleppo)
13/10/0815	unknown 0	appoints	Nāṣir al-Dīn b. al-Bārizī 71	kātib sirr (sulṭān)
05/04/0842	unknown 0	appoints	ʿAlī b. Nāṣir al-Dīn Muḥammad 79	wālī (al-Qāhira/Cairo)
31/10/0815	Nawrūz al-Ḥāfiẓī 35	appoints	Kastā* 84	nāʾib (Ghazza/Gaza)
07/04/0842	unknown 0	appoints	ʾĀqbughā al-Timrāzī  25	ʾatābak ʿasākir (al-Qāhira/Cairo)
07/04/0842	unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr silāḥ (sulṭān)
07/04/0842	unknown 0	appoints	Jarbāsh Qāshiq al-Karīmī 51	ʾamīr majlis (sulṭān)
09/04/0842	unknown 0	appoints	ʾIbrāhīm b. al-Bāʿūnī 98	qāḍī quḍāt (Damascus)
03/12/0815	unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53	nāʾib (Dimashq/Damascus)
03/12/0815	unknown 0	appoints	Sharaf al-Dīn Yaʿqūb al-Tabbānī 63	shaykh Shaykhūnīya (al-Qāhira/Cairo)
14/04/0842	unknown 0	promotes	ʾAlṭunbughā al-Marqabī  97	ʾamīr 100 (al-Qāhira/Cairo)
17/04/0842	unknown 0	appoints	Kamāl al-Dīn b. al-Bārizī 99	kātib sirr (sulṭān)
17/04/0842	unknown 0	appoints	ʾAsanbughā al-Ṭayyārī 73	dawādār thānī (sulṭān)
19/04/0842	unknown 0	appoints	ʾĪnāl al-ʾAshrafī al-Faqīh 21	ʾamīr ḥājj maḥmal (al-Qāhira/Cairo)
09/12/0815	al-Muʾayyad Shaykh 12	appoints	Damurdāsh al-Muḥammadī 67	nāʾib (Ḥalab/Aleppo)
07/05/0842	unknown 0	appoints	Walī al-Dīn Muḥammad al-Safṭī 111	wakīl bayt māl
08/05/0842	unknown 0	promotes	Ṣukhra 112	ʾamīr (Yanbuʿ)
10/05/0842	unknown 0	appoints	Zayn al-Dīn Yaḥyā 118	nāẓir ʾisṭabl sulṭānī
28/02/0816	unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61	nāẓir mawārīth
30/05/0842	unknown 0	appoints	Ibn Qāḍī Shuhba 125	qāḍī
30/05/0842	unknown 0	appoints	ʾAmīn al-Dīn al-Nuwayrī 127	khaṭīb ḥaram (Makka/Mecca)
20/01/0816	al-Muʾayyad Shaykh 12	appoints	Taghrī Birdī Sayyidī al-Ṣaghīr 65	nāʾib (Ḥamā)
05/06/0842	unknown 0	appoints	ʾAqbughā min Māmish al-Nāṣirī 139	nāʾib (al-Karak/Karak)
05/06/0842	unknown 0	appoints	Khalīl al-Jashārī 92	ʾamīr kabīr (Ṣafad/Safed)
12/04/0816	unknown 0	appoints	Shihāb al-Dīn ʾAḥmad al-ʾUmawī 49	qāḍī quḍāt mālikīya
08/07/0842	unknown 0	appoints	unknown 0	wakīl (sulṭān)
30/04/0816	unknown 0	appoints	Damurdāsh al-Muḥammadī 67	nāʾib (Ṭarābulus/Tripoli)
30/04/0816	unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53	nāʾib (Ṭarābulus/Tripoli)
30/04/0816	unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53	ʾamīr (general)
30/04/0816	unknown 0	appoints	Taghrī Birdī Sayyidī al-Ṣaghīr 65	nāʾib (Ḥamā)
13/02/0816	unknown 0	appoints	Ṭawkh Baṭṭīkh 75	nāʾib (Ḥalab/Aleppo)
13/02/0816	unknown 0	appoints	Yashbak al-ʾAʿraj 1436	nāʾib qalʿa (Ḥalab/Aleppo)
13/02/0816	unknown 0	appoints	ʿUmar al-Haydhbānī 157	ḥājib ḥujjāb (Ḥalab/Aleppo)
13/02/0816	unknown 0	appoints	Qamish al-Ẓāhirī 76	nāʾib (Ṭarābulus/Tripoli)
19/07/0842	unknown 0	appoints	Yalbughā al-Bahāʾī  100	nāʾib (al-ʾIskandarīya/Alexandria)
31/03/0816	al-Sufyānī 170	appoints	unknown 0	ʾamīr (general)
11/09/0842	unknown 0	appoints	Birdibak al-ʿAjamī al-ʾAʿwar 177	nāʾib (Ḥamā)
11/09/0842	unknown 0	appoints	Qānī Bāy al-Ḥamzāwī 176	nāʾib (Ṭarābulus/Tripoli)
11/09/0842	unknown 0	appoints	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	nāʾib (Ḥalab/Aleppo)
20/03/0842	unknown 0	appoints	Qurqmās al-Shaʿbānī 11	ʾamīr kabīr (al-Qāhira/Cairo)
20/03/0842	unknown 0	appoints	Qurqmās al-Shaʿbānī 11	ʾatābak ʿasākir (al-Qāhira/Cairo)
09/04/0842	al-Ẓāhir Jaqmaq 2	appoints	Shihāb al- Dīn ʾAḥmad b. Ḥajar 93	qāḍī quḍāt (general)
09/04/0842	al-Ẓāhir Jaqmaq 2	appoints	Shihāb al- Dīn ʾAḥmad b. Ḥajar 93	nāẓir waqf
17/04/0842	unknown 0	appoints	Yalbughā al-Bahāʾī  100	ḥājib thānī (sulṭān)
08/05/0842	unknown 0	appoints	Muḥammad al-Ṣaghīr 120	wālī (Dumyāṭ/Damietta - Wajh Baḥrī)
19/03/0842	unknown 0	appoints	al-Ẓāhir Jaqmaq 2	sulṭān
01/06/0842	unknown 0	appoints	Sūdūn al-Muḥammadī 3164	nāẓir ḥaram (Makka/Mecca)
01/06/0842	unknown 0	appoints	Muḥammad b. Ḥatā * 133	nāẓir (Jidda/Jeddah)
08/05/0816	al-Muʾayyad Shaykh 12	appoints	Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	nāẓir khāṣṣ
08/05/0816	al-Muʾayyad Shaykh 12	appoints	Dāwud b. al-Kuwayz 203	nāẓir jaysh (sulṭān)
12/05/0816	unknown 0	appoints	Ṣadr al-Dīn b. al-ʾĀdamī  114	muḥtasib (al-Qāhira/Cairo)
12/05/0816	unknown 0	appoints	Jānibak al-Ṣūfī 83	raʾs nawba kabīr (sulṭān)
12/05/0816	unknown 0	appoints	Sūdūn al-ʾAshqar 43	ʾamīr majlis (sulṭān)
23/05/0816	unknown 0	appoints	ʾĪnāl al-Ṣaṣlānī 115	ʾamīr majlis (sulṭān)
23/05/0816	unknown 0	appoints	Qujaq al-ʿĪsāwī 207	ḥājib ḥujjāb (sulṭān)
28/05/0816	unknown 0	appoints	Jānibāk al-Muʾayyadī al-Dawādār 213	dawādār kabīr (sulṭān)
28/05/0816	unknown 0	appoints	Jarbāsh Kabbāsha 298	ʾamīr jāndār (sulṭān)
31/05/0816	unknown 0	appoints	Fakhr al-Dīn b. ʾAbi l-Faraj 214	ʾustādār (sulṭān)
31/05/0816	unknown 0	appoints	Ḥasan b. Muḥibb al-Dīn 70	mushīr dawla (al-Qāhira/Cairo)
12/07/0816	unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53	nāʾib (Ṣafad/Safed)
12/07/0816	unknown 0	appoints	Taghrī Birdī Sayyidī al-Ṣaghīr 65	nāʾib (Ghazza/Gaza)
21/09/0842	unknown 0	appoints	Muḥammad b. al-Tanasī 210	qāḍī quḍāt mālikīya
23/09/0842	unknown 0	appoints	ʾĀqbughā al-Timrāzī  25	nāʾib (Dimashq/Damascus)
05/05/0816	al-Muʾayyad Shaykh 12	appoints	ʿAbd al-Razzāq b. al-Hayṣam 183	wazīr
17/07/0816	unknown 0	appoints	ʿAbd al-Wahhāb b. ʾAbī Shākir 104	ʾustādār dhakhīra wa ʾamlāk 
05/05/0816	unknown 0	appoints	ʿAbd al-Wahhāb b. ʾAbī Shākir 104	nāẓir khāṣṣ
25/09/0842	unknown 0	appoints	Mūsā b. Muḥammad 237	ʾamīr mullā
19/07/0816	unknown 0	appoints	Manklī Bughā al-ʿAjamī 240	ḥājib thānī (sulṭān)
19/07/0816	unknown 0	appoints	Manklī Bughā al-ʿAjamī 240	muḥtasib (al-Qāhira/Cairo)
31/10/0801	al-Ẓāhir Barqūq 4	appoints	Manklī Bughā al-ʿAjamī 240	dawādār (small) (sulṭān)
17/08/0816	unknown 0	appoints	Zayn al-Dīn al-Khāzindār 242	nāẓir mawārīth
06/09/0816	unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61	shaykh Nāṣirīya Faraj (al-Qāhira/Cairo)
29/09/0842	unknown 0	appoints	Ṣarghitmish 250	dawādār  (sulṭān) (Ḥalab/Aleppo)
10/09/0816	unknown 0	appoints	Nāṣir al-Dīn b. al-ʿAdīm 101	qāḍī quḍāt Ḥanafīya (al-Qāhira/Cairo)
13/09/0816	unknown 0	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	nāʾib (Dimashq/Damascus)
13/09/0816	unknown 0	appoints	ʾĪnāl al-Ṣaṣlānī 115	nāʾib (Ḥalab/Aleppo)
13/09/0816	unknown 0	appoints	Sūdūn Qarāṣaqal 257	nāʾib (Ghazza/Gaza)
13/09/0816	unknown 0	appoints	ʾAlṭunbughā al-Qurmushī 221	ʾamīr ʾākhūr kabīr (sulṭān)
08/10/0816	unknown 0	appoints	Ḥasan b. Muḥibb al-Dīn 70	nāʾib (al-ʾIskandarīya/Alexandria)
21/10/0816	unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61	nāẓir mawārīth
16/12/0816	al-Muʾayyad Shaykh 12	appoints	al-Muʿtaḍid bi-llāh  258	khalīfa (al-Qāhira/Cairo)
20/12/0816	unknown 0	appoints	Muḥammad b. al-Tabbānī 50	qāḍī quḍāt Ḥanafīya (Dimashq/Damascus)
03/10/0842	unknown 0	appoints	Tanbak al-Ẓāhirī 592	ʾamīr ḥājj maḥmal (al-Qāhira/Cairo)
03/10/0842	unknown 0	appoints	Qarājā al-Kabkabī 269	wālī (al-Qāhira/Cairo)
03/10/0842	unknown 0	appoints	Mamjiq al-Nawrūzī 598	nāʾib qalʿa (al-Qāhira/Cairo)
10/10/0842	unknown 0	appoints	Timrāz al-Qurmishī  27	ʾamīr silāḥ (sulṭān)
10/10/0842	unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28	ʾatābak ʿasākir (al-Qāhira/Cairo)
10/10/0842	unknown 0	appoints	Qarājā (Qarāqujā) al-Ḥasanī  31	ʾamīr ʾākhūr kabīr (sulṭān)
10/10/0842	unknown 0	appoints	Timurbāy al-Timurbughāwī 147	raʾs nawba kabīr (sulṭān)
10/10/0842	unknown 0	appoints	Taghrī Birdī al-Muʾadhī 29	dawādār kabīr (sulṭān)
10/10/0842	unknown 0	appoints	Dawlāt Bāy al-Muʾayyadī 273	dawādār thānī (sulṭān)
10/10/0842	unknown 0	appoints	Jarbāsh Kurd al-Muḥammadī 272	ʾamīr ʾākhūr thānī (sulṭān)
04/01/0817	unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117	nāʾib ghayba (al-Qāhira/Cairo)
04/01/0817	unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117	wakīl bāb silsila
04/01/0817	unknown 0	appoints	Ṣumāy al-Ḥasanī 281	wakīl bāb sitāra
08/01/0817	unknown 0	appoints	Ḥājjī al-Rūmī 245	shaykh Nāṣirīya Faraj (al-Qāhira/Cairo)
08/01/0817	unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61	nāẓir jaysh (Dimashq/Damascus)
08/01/0817	unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61	nāẓir mawārīth
02/06/0817	al-Muʾayyad Shaykh 12	appoints	Kizil Nāʾib Bahasnā 289	nāʾib (Malaṭīya/Malatya - Aleppo)
02/06/0817	al-Muʾayyad Shaykh 12	appoints	ʾĪnāl al-Ṣaṣlānī 115	nāʾib (Ḥalab/Aleppo)
02/06/0817	al-Muʾayyad Shaykh 12	appoints	Tanbak al-Bajāsī  212	nāʾib (Ḥamā)
02/06/0817	al-Muʾayyad Shaykh 12	appoints	Sūdūn min ʿAbd al-Raḥmān 259	nāʾib (Ṭarābulus/Tripoli)
02/06/0817	al-Muʾayyad Shaykh 12	appoints	Jānibāk al-Ḥamzāwī 291	nāʾib (Qalʿat Muslimīn/Rum Kalesi - Aleppo)
03/07/0817	al-Muʾayyad Shaykh 12	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	nāʾib (Dimashq/Damascus)
23/08/0817	al-Muʾayyad Shaykh 12	appoints	Ṭarabāy al-Ẓāhirī 294	nāʾib (Ghazza/Gaza)
30/05/0842	unknown 0	appoints	ʾAmīn al-Dīn al-Nuwayrī 127	qāḍī quḍāt (Makka/Mecca)
08/09/0817	unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117	ʾatābak ʿasākir (al-Qāhira/Cairo)
14/10/0842	unknown 0	appoints	ʾAmīn al-Dīn al-Nuwayrī 127	qāḍī quḍāt (Makka/Mecca)
12/09/0817	unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117	nāẓir bīmāristān Manṣūrī (al-Qāhira/Cairo)
17/10/0842	unknown 0	appoints	Tanbak al-Ẓāhirī 592	ḥājib ḥujjāb (sulṭān)
12/09/0817	unknown 0	appoints	ʿAbd Allāh al-ʾAqfahsī 302	qāḍī quḍāt mālikīya
13/09/0817	unknown 0	appoints	Ṣumāy al-Ḥasanī 281	nāʾib (al-ʾIskandarīya/Alexandria)
15/09/0817	unknown 0	appoints	Sūdūn al-Qāḍī 246	ḥājib ḥujjāb (sulṭān)
15/09/0817	unknown 0	appoints	Qujqār al-Qurdumī 247	ʾamīr majlis (sulṭān)
15/09/0817	unknown 0	appoints	Jānibak al-Ṣūfī 83	ʾamīr silāḥ (sulṭān)
15/09/0817	unknown 0	appoints	Kizil al-ʿAjamī al-ʾAjrūd 303	ʾamīr jāndār (sulṭān)
31/08/0815	al-Nāṣir Faraj b. Barqūq 14	appoints	Kizil al-ʿAjamī al-ʾAjrūd 303	ḥājib ḥujjāb (sulṭān)
19/09/0817	unknown 0	appoints	ʾAqbāy al-Khāzindār al-Muʾayyadī 301	dawādār kabīr (sulṭān)
19/09/0817	unknown 0	appoints	Tanbak Miyiq 308	raʾs nawba
13/12/0841	al-ʾAshraf Barsbāy 24	appoints	Ṭūghān al-Zardkāsh  261	zardkāsh
26/09/0817	unknown 0	appoints	Ḥasan b. Muḥibb al-Dīn 70	ʾustādār (sulṭān)
26/09/0817	unknown 0	appoints	ʿAbd al-Wahhāb b. ʾAbī Shākir 104	nāẓir dīwān mufrad
31/10/0817	al-Muʾayyad Shaykh 12	appoints	unknown 0	wālī (general)
29/10/0821	unknown 0	appoints	Tāj al-Dīn Tāj al-Shawīkī 116	muḥtasib (al-Qāhira/Cairo)
26/10/0842	unknown 0	appoints	Ṣafī al-Dīn Jawhar 320	zimām dūr sulṭānīya (sulṭān)
03/12/0817	al-Muʾayyad Shaykh 12	appoints	Kumushbughā al-ʿĪsāwī 108	kāshif (al-Wajh al-Baḥrī)
02/11/0842	unknown 0	appoints	Muḥammad b. Ḥujā 205	qāḍī quḍāt Shāfiʿīya (Dimashq/Damascus)
13/11/0842	unknown 0	appoints	Sūdūn al-Maghribī 355	wālī (Dumyāṭ/Damietta - Wajh Baḥrī)
18/02/0818	unknown 0	appoints	ʿAlāʾ al-Dīn ʿAlī b. al-Mughallī 374	qāḍī quḍāt ḥanbalīya
12/02/0818	unknown 0	appoints	ʾAbū Bakr al-Jītī 375	qāḍī ʿaskar
30/11/0842	unknown 0	appoints	Muḥammad b. ʿAbd al-Razzāq 363	naqīb jaysh 
24/12/0842	unknown 0	appoints	Muḥammad b. ʾAḥmad b. Salām 376	wālī (Dumyāṭ/Damietta - Wajh Baḥrī)
07/05/0842	unknown 0	appoints	Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	nāẓir jaysh (sulṭān)
07/05/0842	unknown 0	appoints	Muḥammad b. ʿAbd al-Razzāq 363	ʾustādār kabīr (sulṭān)
31/03/0818	al-Muʾayyad Shaykh 12	appoints	Ṭūghān al-ʾAmīr ʾĀkhūr 107	nāʾib (Ṣafad/Safed)
28/02/0818	al-Muʾayyad Shaykh 12	appoints	Ḥasan b. Bashāra* 388	qāʾid ʿashīr
01/03/0818	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	appoints	unknown 0	qāḍī
08/03/0818	unknown 0	appoints	ʾAḥmad al-Madanī 402	kātib sirr (Dimashq/Damascus)
18/04/0818	unknown 0	appoints	Baybughā al-Muẓaffarī 74	ʾamīr kabīr (Dimashq/Damascus)
30/04/0818	unknown 0	appoints	Jarbāsh 287	ḥājib (Ḥalab/Aleppo)
30/04/0818	unknown 0	appoints	Ṭūghān al-ʾAmīr ʾĀkhūr 107	ḥājib ḥujjāb (Dimashq/Damascus)
07/05/0818	unknown 0	appoints	ʾAlṭunbughā al-ʿUthmānī 117	nāʾib (Dimashq/Damascus)
07/05/0818	unknown 0	appoints	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426	nāʾib (al-ʾIskandarīya/Alexandria)
31/05/0818	unknown 0	appoints	Shāhīn al-Fārisī 428	nāʾib (al-Karak/Karak)
07/05/0818	al-Muʾayyad Shaykh 12	appoints	ʾAlṭunbughā al-ʿUthmānī 117	nāʾib (Dimashq/Damascus)
07/05/0818	al-Muʾayyad Shaykh 12	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	ʾamīr kabīr (al-Qāhira/Cairo)
04/01/0817	al-Muʾayyad Shaykh 12	promotes	Birdibak al-Khalīlī Qiṣqā 681	ʾamīr 100 (al-Qāhira/Cairo)
11/06/0818	unknown 0	appoints	Sūdūn al-Qāḍī 246	nāẓir jāmiʿ ʾAzhar (al-Qāhira/Cairo)
20/06/0818	unknown 0	appoints	Sayf al-Dīn al-Qāsimī 438	nāʾib (Ghazza/Gaza)
27/06/0818	unknown 0	appoints	ʾAlṭunbughā al-Qurmushī 221	ʾamīr kabīr (al-Qāhira/Cairo)
30/06/0818	unknown 0	appoints	ʾAlṭunbughā al-Qurmushī 221	nāẓir bīmāristān Manṣūrī (al-Qāhira/Cairo)
30/06/0818	unknown 0	appoints	Tanbak Miyiq 308	ʾamīr ʾākhūr kabīr (sulṭān)
04/07/0818	unknown 0	appoints	Sūdūn al-Qāḍī 246	raʾs nawba
04/07/0818	unknown 0	appoints	Sūdūn Qarāṣaqal 257	ḥājib ḥujjāb (sulṭān)
21/07/0818	unknown 0	appoints	Dāwud b. al-Kuwayz 203	nāẓir dawla
22/07/0818	unknown 0	appoints	al-Ẓāhir Ṭaṭar 441	nāʾib ghayba (al-Qāhira/Cairo)
30/04/0818	unknown 0	appoints	Jarbāsh Kabbāsha 298	ḥājib ḥujjāb (Ḥalab/Aleppo)
14/07/0818	al-Muʾayyad Shaykh 12	appoints	ʾAqbāy al-Khāzindār al-Muʾayyadī 301	nāʾib (Ḥalab/Aleppo)
14/07/0818	al-Muʾayyad Shaykh 12	appoints	Jār Quṭlū al-Ẓāhirī 267	nāʾib (Ḥamā)
14/08/0818	al-Muʾayyad Shaykh 12	appoints	Yashbak al-Yūsufī al-Muʾayyadī 249	nāʾib (Ṭarābulus/Tripoli)
30/09/0818	al-Muʾayyad Shaykh 12	promotes	Ṭūghān al-ʾAmīr ʾĀkhūr 107	ʾamīr 100 (al-Qāhira/Cairo)
12/11/0818	unknown 0	appoints	Tāj al-Dīn Tāj al-Shawīkī 116	muḥtasib 
20/10/0818	unknown 0	appoints	Muḥammad al-Ḥalāwī 448	muḥtasib 
24/10/0818	al-Muʾayyad Shaykh 12	appoints	Fakhr al-Dīn b. ʾAbi l-Faraj 214	kāshif (al-Buḥayra/Buhayra - Wajh Baḥrī)
24/10/0818	al-Muʾayyad Shaykh 12	appoints	Fakhr al-Dīn b. ʾAbi l-Faraj 214	kāshif (Sharqīya and Gharbīya)
24/11/0818	al-Muʾayyad Shaykh 12	appoints	Birdibak al-Khalīlī Qiṣqā 681	raʾs nawba kabīr (sulṭān)
25/12/0818	unknown 0	appoints	Jaqmaq al-ʾArghūn Shāwī 34	dawādār kabīr (sulṭān)
25/12/0818	unknown 0	appoints	Yashbak al-Yūsufī al-Muʾayyadī 249	dawādār thānī (sulṭān)
31/12/0818	unknown 0	appoints	ʾIbrāhīm Khuruz* 453	wālī (al-Qāhira/Cairo)
31/12/0818	unknown 0	appoints	Tāj al-Dīn Tāj al-Shawīkī 116	ʾustādār ṣuḥba (sulṭān)
28/02/0818	unknown 0	appoints	Rumaytha b. Muḥammad b. ʿAjlān 457	ʾamīr (Makka/Mecca)
05/01/0819	al-Muʾayyad Shaykh 12	appoints	Badr al-Dīn al-ʿAynī 462	muḥtasib (al-Qāhira/Cairo)
19/01/0819	unknown 0	appoints	ʿAbd al-Wahhāb b. ʾAbī Shākir 104	wazīr
31/01/0819	unknown 0	appoints	ʿUmar al-Ṭaḥḥān 467	nāʾib qalʿa (Ṣafad/Safed)
29/09/0842	al-Ẓāhir Jaqmaq 2	appoints	Ṭūghān al-Zardkāsh  261	dawādār kabīr (sulṭān)
12/02/0819	unknown 0	appoints	unknown 0	nāʾib qāḍī (al-Qāhira/Cairo)
02/01/0843	unknown 0	appoints	Walī al-Dīn Muḥammad al-Safṭī 111	nāẓir kiswa
02/01/0843	unknown 0	appoints	Fatḥ al-Dīn al-Muḥarraqī 476	nāẓir jawālī
12/02/0819	al-Muʾayyad Shaykh 12	appoints	unknown 0	qāḍī
28/02/0819	unknown 0	appoints	Quṭlūbughā al-Khalīlī 478	nāʾib (al-ʾIskandarīya/Alexandria)
28/02/0819	Minṭāsh 305	promotes	Quṭlūbughā al-Khalīlī 478	ʾamīr 100 (al-Qāhira/Cairo)
28/01/0843	unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28	ʾatābak ʿasākir (al-Qāhira/Cairo)
28/01/0843	unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28	ʾamīr kabīr (al-Qāhira/Cairo)
01/02/0843	unknown 0	appoints	Qānī Bāy al-Bahlawān 277	nāʾib (Ṣafad/Safed)
01/02/0843	unknown 0	appoints	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	ʾamīr 100 (al-Qāhira/Cairo)
01/02/0843	unknown 0	appoints	ʾĪnāl al-Shishmānī 274	ʾatābak ʿasākir (Dimashq/Damascus)
14/03/0819	unknown 0	appoints	Muḥammad b. Shaʿbān 206	muḥtasib 
27/03/0819	unknown 0	appoints	Badr al-Dīn al-ʿAynī 462	nāẓir waqf
13/02/0843	unknown 0	promotes	Ṭūkh Māzī 137	ʾamīr 100 (Dimashq/Damascus)
25/04/0819	unknown 0	appoints	Fakhr al-Dīn b. ʾAbi l-Faraj 214	ʾustādār (sulṭān)
17/05/0819	unknown 0	appoints	Shams al-Dīn Muḥammad al-Dīrī 508	qāḍī quḍāt Ḥanafīya (al-Qāhira/Cairo)
11/03/0843	unknown 0	appoints	Naṣr Allāh al-Wazza 518	nāẓir ʾisṭabl sulṭānī
04/06/0819	unknown 0	appoints	Fakhr al-Dīn b. ʾAbi l-Faraj 214	mushīr dawla (al-Qāhira/Cairo)
26/03/0843	unknown 0	appoints	Muḥammad b. Ḥujā 205	nāẓir Ṣalāḥīya (al-Quds/Jerusalem)
01/04/0843	unknown 0	appoints	ʾAḥmad al-ʿAjlūnī 527	kātib sirr (Dimashq/Damascus)
