id	region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	translitTitleOther	arTitleOther	searchNames	arBW
WASHQA_003W421N_R_ANDA	Andalus	-0.35371	42.16109	regions	district	Wašqaŧ	وشقة	Wašqaŧ	وشقة	Washqa	Washqa
WASHQA_003W421N_S_ANDA	Andalus	-0.35371	42.16109	towns	cite?	Wašqaŧ	وشقة	Wašqaŧ	وشقة	Washqa	Washqa
BALANSIYYA_004W394N_R_ANDA	Andalus	-0.41486	39.43516	regions	district	Balansiyyaŧ	بلنسية	Balansiyyaŧ	بلنسية	Balansiyya	Balansiyya
BALANSIYYA_004W394N_S_ANDA	Andalus	-0.41486	39.43516	towns	cite	Balansiyyaŧ	بلنسية	Balansiyyaŧ	بلنسية	Balansiyya	Balansiyya
SHAQR_004W391N_S_ANDA	Andalus	-0.43734	39.16483	villages	localite	al-Šaqr	ﭐلشقر	al-Šaqr	ﭐلشقر	al-Shaqr	al-Shaqr
QANT_004W383N_S_ANDA	Andalus	-0.47061	38.34618	towns	cite	Qānt	قانت	Qānt	قانت	Qant	Qant
SHATIBA_005W389N_S_ANDA	Andalus	-0.52276	38.96551	towns	cite	Šātibaŧ	شاتبة	Šātibaŧ	شاتبة	Shatiba	Shatiba
SARAQUSA_009W416N_R_ANDA	Andalus	-0.92920	41.63368	regions	district	Saraqūsaŧ	سرقوسة	Saraqūsaŧ, Saraqūsṭaŧ	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqusa, Saraqusta
SARAQUSA_009W416N_S_ANDA	Andalus	-0.92920	41.63368	towns	cite	Saraqūsaŧ	سرقوسة	Saraqūsaŧ, Saraqūsṭaŧ	سرقوسة، سرقوسطة	Saraqusa, Saraqusta	Saraqusa, Saraqusta
QARTAJANNA_009W376N_S_ANDA	Andalus	-0.98315	37.60050	villages	localite	Qarṭāǧannaŧ	قرطاجنة	Qarṭāǧannaŧ	قرطاجنة	Qartajanna	Qartajanna
NAHRABRUH_009W417N_W_ANDA	Andalus	-0.99933	41.78270	waters	riviere	Nahr Abruh	نهر أبره	Nahr Abruh	نهر أبره	Nahr Abruh	Nahr Abruh
MURSIYA_011W379N_S_ANDA	Andalus	-1.11443	37.99945	towns	cite	Mursiyaŧ	مرسية	Mursiyaŧ	مرسية	Mursiya	Mursiya
TUDMIR_013W379N_R_ANDA	Andalus	-1.34462	37.95834	regions	region	Tudmīr	تدمير	Tudmīr	تدمير	Tudmir	Tudmir
TUTILA_016W420N_R_ANDA	Andalus	-1.62697	42.04634	regions	district	Tuṭīlaŧ	تطيلة	Tuṭīlaŧ	تطيلة	Tutila	Tutila
TUTILA_016W420N_S_ANDA	Andalus	-1.62697	42.04634	towns	cite	Tuṭīlaŧ	تطيلة	Tuṭīlaŧ	تطيلة	Tutila	Tutila
LURQA_017W376N_S_ANDA	Andalus	-1.73128	37.65320	towns	cite	Lurqaŧ	لرقة	Lurqaŧ	لرقة	Lurqa	Lurqa
MADINASALIM_024W411N_S_ANDA	Andalus	-2.41736	41.13714	towns	cite	Madīnaŧ Sālim	مدينة سالم	Madīnaŧ Sālim	مدينة سالم	Madina Salim	Madina Salim
BAJJANA_024W369N_R_ANDA	Andalus	-2.41826	36.95657	regions	district	Baǧǧānaŧ	بجانة	Baǧǧānaŧ	بجانة	Bajjana	Bajjana
