source,target,weight,distance
RIHA_354E318N_S_SHAM,NABULUS_352E322N_S_SHAM,0.205161873,48742
ZARQA_360E320N_S_SHAM,AMMAN_359E319N_S_SHAM,0.448671931,22288
ZARQA_360E320N_S_SHAM,ADHRIAT_360E326N_S_SHAM,0.147488275,67802
ADHRIAT_360E326N_S_SHAM,ZARQA_360E320N_S_SHAM,0.163041706,61334
NAWA_360E328N_S_SHAM,ADHRIAT_360E326N_S_SHAM,0.316917031,31554
JASIM_360E329N_S_SHAM,AQABAFIQ_356E327N_S_SHAM,0.239188672,41808
JABIYA_360E329N_S_SHAM,NAWA_360E328N_S_SHAM,1.993620415,5016
JASIM_360E329N_S_SHAM,JABIYA_360E329N_S_SHAM,1.567398119,6380
ROUTPOINT0121_362E333N_O_NODA,ADHRIAT_360E326N_S_SHAM,0.122244905,81803
ROUTPOINT0121_362E333N_O_NODA,JASIM_360E329N_S_SHAM,0.234774851,42594
DIMASHQ_363E335N_S_SHAM,SUWAYDA_365E326N_S_SHAM,0.102614621,97452
RUSAFA_387E356N_S_SHAM,NIHYA_373E344N_S_SHAM,0.053149366,188149
BUTLAMIYYA_383E355N_S_SHAM,RUSAFA_387E356N_S_SHAM,0.231192491,43254
QASTAL_375E350N_S_SHAM,BUTLAMIYYA_383E355N_S_SHAM,0.117902283,84816
SALAMIYYA_370E350N_S_SHAM,QASTAL_375E350N_S_SHAM,0.212237621,47117
FARAYA_369E348N_S_SHAM,SALAMIYYA_370E350N_S_SHAM,0.511875512,19536
HIMS_367E347N_S_SHAM,FARAYA_369E348N_S_SHAM,0.406884485,24577
SADAD_369E343N_S_SHAM,SALAMIYYA_370E350N_S_SHAM,0.127399896,78493
QARYATAN_372E342N_S_SHAM,NIHYA_373E344N_S_SHAM,0.355707324,28113
JARUD_367E338N_S_SHAM,QARYATAN_372E342N_S_SHAM,0.1523647,65632
SHAMSIN_367E345N_S_SHAM,NABK_367E340N_S_SHAM,0.1749965,57144
QARA_368E341N_S_SHAM,SADAD_369E343N_S_SHAM,0.557631183,17933
NABK_367E340N_S_SHAM,QARA_368E341N_S_SHAM,0.527537455,18956
QUTAYYIFA_366E337N_S_SHAM,NABK_367E340N_S_SHAM,0.2771081,36087
QUTAYYIFA_366E337N_S_SHAM,JARUD_367E338N_S_SHAM,0.677644508,14757
DIMASHQ_363E335N_S_SHAM,QUTAYYIFA_366E337N_S_SHAM,0.261472088,38245
KUSWA_362E333N_S_SHAM,ROUTPOINT0121_362E333N_O_NODA,3.271180896,3057
DIMASHQ_363E335N_S_SHAM,KUSWA_362E333N_S_SHAM,0.520508016,19212
ROUTPOINT0120_362E335N_O_NODA,DIMASHQ_363E335N_S_SHAM,1.497230124,6679
ZABADANI_360E337N_S_SHAM,ROUTPOINT0120_362E335N_O_NODA,0.339916381,29419
AYNJARR_359E337N_S_SHAM,ROUTPOINT0120_362E335N_O_NODA,0.25133206,39788
AQABARUMMAN_361E338N_S_SHAM,ZABADANI_360E337N_S_SHAM,0.516662361,19355
