Source	Target	Weight
الحنفي	السمرقندي	9
القاضي	ميورقة	2
الامير	الحجاج	8
التنيسي	الفقيه	4
الاسكندري	المغرب	3
الانصاري	المازني	9
اربل	الكرج	2
المقريء	حران	26
الشيزري	دمشق	2
مصر	هراة	26
افريقية	غرناطة	3
الاسكندراني	الكتبي	2
الحلي	الموصل	2
التغلبي	امل	2
اليمن	صفد	3
اصبهان	النسوي	2
بخارى	ترمذ	2
البغدادي	الشافعي	52
الشافعي	بلخ	2
الفهري	القاضي	5
حران	مكة	28
الاسكافي	الحربي	3
القدس	النيسابوري	3
الثقفي	الضرير	2
السمعاني	المقريء	7
الحنفي	المولي	34
بخارى	حمص	2
الطبيب	بغداد	14
الحجاز	الذهلي	2
القنطري	المقريء	5
التميمي	الشام	22
البصري	الرفاعي	2
نسا	هراة	3
البلوي	المدني	2
الحلة	الكوفة	5
الشاعر	العقيلي	2
النحوي	الواسطي	11
فرغانة	مصر	2
الجزيرة	الشام	71
البارع	حماة	2
النحوي	مرسية	4
المقريء	النخاس	2
بلخ	كرمان	6
اصبهان	السند	5
الخراساني	الفقيه	8
المدينة	حماة	5
القدس	المالكي	3
العراق	مكة	83
الشافعي	حوران	2
الصوفي	الكشميهني	4
الطلحي	بغداد	3
البصرة	زنجان	2
الاسكندرية	سارية	2
الازدي	الجهضمي	2
التميمي	صرخد	2
القرطبي	سبتة	9
الغازي	المروزي	6
القاضي	المتولي	3
المغربي	فاس	11
الدمشقي	الغزالي	3
السامي	الناجي	5
دربند	همذان	3
البصرة	الجواد	4
البارع	المغرب	6
الحميري	الصنهاجي	6
الصوفي	الغوري	2
اربل	الماراني	2
الحنفي	اليزدي	2
اذنة	امل	2
الحميري	مراكش	3
الري	القدس	3
المءذن	دمشق	21
الامير	الحلبي	12
اصبهان	قرطبة	2
الفقيه	اليمن	27
الخزاعي	الواسطي	2
البغدادي	الغسال	5
الفرضي	النظامي	2
المءرخ	حمص	2
البصري	طبرية	2
التميمي	بعلبك	2
الايادي	بغداد	5
قوص	مصر	15
طرابلس	مصر	54
التاجر	الشيرازي	2
الذهبي	دمشق	5
السمرقندي	مرو	3
المداءن	قم	2
العراق	القسطنطينية	6
القوي	مصر	4
الاستراباذي	المءذن	2
الزهراء	قرطبة	10
الاشعري	قرطبة	6
الحداد	مرو	2
الخطيب	القطان	4
الامير	الحجاب	8
البلدي	القاضي	4
الغوري	بغداد	2
بارين	منبج	3
الشيعي	كفرطاب	2
الفقيه	مرسية	4
الطبري	العراق	4
انطاكية	قيسارية	4
الاسكندراني	الجذامي	8
اربل	مكة	5
الاندلسي	المولي	35
الصوفي	اليمن	5
الاديب	قاسيون	7
جرجان	قزوين	5
الحضرمي	مصر	21
السدوسي	الكوفي	4
القاهرة	جور	2
الاسكندرية	الصعيدي	2
التجيبي	لورقة	2
الحصري	القيرواني	2
الخطيب	الفرضي	4
دمشق	دهستان	2
الخطيب	المخزومي	2
افريقية	المهدية	10
الاهواز	المدينة	2
الطرابلسي	بغداد	2
التكريتي	الجزيرة	2
الحاكم	طوس	3
الازجي	الدقاق	14
السرقسطي	القرطبي	2
القدس	حران	15
الاوسي	القرطبي	4
الري	دربند	2
الانصاري	بخارى	5
الترمذي	مكة	4
الاديب	طرسوس	4
الاطرابلسي	الدمشقي	3
اغمات	الجزيرة	3
بغداد	جماعيل	5
الحجبي	مكة	4
البغدادي	المضري	4
الفارسي	القطان	2
الصدوق	المديني	2
الاخفش	بغداد	2
الاصبهاني	الزعفراني	5
الحاسب	حران	2
القزويني	مرو	2
بست	حلب	3
المصري	حران	14
افريقية	الشام	15
العمري	المولي	5
بغداد	جور	6
القاهرة	النيسابوري	2
غزنة	ما وراء النهر	8
الاهواز	المقريء	16
السلفي	قرطبة	2
التغلبي	المولي	13
الاندلس	الفارسي	5
الاستراباذي	دمشق	2
القاضي	ما وراء النهر	12
حران	غزة	3
الاسكندرية	الخطيب	9
الاندلسي	امل	2
البلخي	بغداد	30
الغافقي	المرسي	3
الصوفي	القرطبي	2
القاضي	رامهرمز	3
الدوري	الضرير	2
العباسي	القيروان	3
الجيزة	الرافضي	2
الانبار	خراسان	6
الحنبلي	امل	2
البزار	البصري	5
اليمن	بغداد	88
الاصبهاني	الوراق	5
التاجر	بست	2
الروم	المعرة	2
الحلبي	المقريء	17
الاقوش	المولي	2
انطاكية	عسقلان	2
السمعاني	الفاسي	2
الادبي	الاديب	4
القبلي	بغداد	3
الحاصر	الحجاج	2
الموصل	بلخ	2
ماردين	نصيبين	2
النخعي	ريدة	2
الحنفي	بغداد	102
المدينة	المغربي	4
سامراء	مرو	3
الشام	تفليس	3
شريش	غرناطة	3
البغدادي	الدارقزي	6
النجار	دمشق	5
الفقيه	حلب	53
المحدث	النيسابوري	34
الفراء	بغداد	3
الخياط	اليمن	4
المداءن	خوارزم	2
المءيد	دمشق	4
التغلبي	همذان	2
انطاكية	مكة	4
هراة	همذان	20
حلب	عكا	10
الحنبلي	الصحراوي	4
طرابلس	فاس	4
الفقيه	المعري	6
طرسوس	مكة	8
الحلة	القدس	2
العبدري	المكي	7
الصوفي	القسطنطينية	2
الدمشقي	الشاغوري	6
الحنبلي	الموصل	21
الحذاء	المقريء	12
الحنبلي	حماة	2
تلمسان	غرناطة	4
الشافعي	الطالقان	2
البصرة	الهراسي	2
الباقلاني	الخطيب	2
الشافعي	يزد	3
المفيد	الموصل	7
البصرة	سجستان	10
النحوي	بغداد	73
الحبشي	العراق	2
الاميني	المفتي	2
الشافعي	حمص	15
الكوفة	الهمداني	19
الشبلية	قاسيون	2
الجزيرة	ميافارقين	6
المغرب	كفربطنا	2
السكري	السلمي	2
الشروطي	النيسابوري	6
الشام	المقدسي	16
تكريت	صور	2
الحربي	الشام	2
الشافعي	العراقي	8
الصدوق	القزويني	2
الجيلي	الصالحي	2
البصرة	القرطبي	7
كرمان	مصر	4
المعرة	المغرب	2
البارع	الشام	10
البوسنجي	هراة	3
النيسابوري	بلخ	4
الاموي	القدس	5
الحنفي	الشرقي	2
الموصلي	قاسيون	4
الصوام	المقريء	4
البخاري	السعدي	5
البستي	بست	3
الزرزاري	مصر	4
البغدادي	الدهقان	2
بلخ	واسط	3
الجمال	الهاشمي	2
الهمداني	واسط	2
الاسكندرية	فارس	19
الفارسي	بغداد	29
الحنبلي	ديار بكر	2
المدينة	نسف	2
المنذري	الهروي	2
القرشي	المصري	66
العنسي	المدينة	2
الخطيب	حران	4
جرجان	ما وراء النهر	7
بغداد	سرقسطة	2
الخفاف	دمشق	2
الحنفي	الكرخي	3
اذربيجان	هراة	2
العراق	دارا	13
اللغوي	الواسطي	2
افريقية	الكوفة	10
اصبهان	الصدوق	2
الحاصر	نصيبين	3
صور	هراة	3
اذربيجان	كنجة	3
النيسابوري	طرسوس	4
الداري	المكي	2
اذربيجان	القاضي	7
التاجر	العسقلاني	5
الدمشقي	تبوك	6
الغساني	المصري	5
التجيبي	الشام	3
الامير	الصعيد	6
الحلبي	الشام	16
الشامي	الطرابلسي	2
الانصاري	المكي	2
الشاعر	القيروان	5
القلانسي	بغداد	8
بلنسية	وهران	3
الغربي	المولي	4
المدني	الهذلي	6
الغافقي	المالكي	4
التغلبي	حمص	2
المصري	المقدسي	16
الصوفي	غزنة	3
القاضي	بسطام	4
الشاعر	سنجار	2
الجزيرة	دارا	5
العباسي	دمشق	17
الطواشي	قيسارية	4
الظاهري	فارس	2
الاسكندراني	الهمذاني	2
العبدي	الكوفي	11
المروزي	الواعظ	7
اصطخر	المولي	3
البارع	الواسطي	2
العدوي	المدينة	10
الهمداني	اليمن	5
البصري	رباط	2
الجرجاني	مكة	7
المءذن	النيسابوري	14
طرسوس	نيسابور	3
الاديب	التاجر	7
الاحول	الكوفة	6
الاعرج	المدني	9
الضرير	بلنسية	4
الامير	تونس	5
الصالحي	المرداوي	4
الرملة	دمشق	37
ابهر	بغداد	4
الكرابيسي	الهمذاني	2
السنجاري	دمشق	5
الخلاطي	رباط	3
الرملة	المحدث	6
ابيورد	الابيوردي	5
الحصار	ماردين	2
الاحول	الشافعي	2
التميمي	حمص	3
الخياط	الهمذاني	2
البحري	مصر	2
التميمي	سبتة	4
الجزيرة	الحراني	4
الحنفي	السمعاني	3
البزار	بغداد	5
الكندي	فارس	2
غرناطة	فارس	5
المصري	قوص	7
العلوي	هراة	6
الضرير	المغربي	3
الحريمي	الشيباني	4
العراقي	قاسيون	2
الشام	الطاءي	4
الشافعي	همذان	16
الانصاري	النحاس	2
السلمي	فارس	9
الفقيه	اللاذقية	2
السلمي	اليمن	5
التجيبي	طرابلس	2
الجزيرة	المءدب	2
الشامي	القدس	3
سرخس	مصر	7
المهلبي	بغداد	7
الحكي	مكة	2
البجاي	تلمسان	2
الانصاري	شاطبة	9
افريقية	الروم	9
بزاعة	طرابلس	2
الحيرة	الطاءي	2
البغوي	بغشور	2
الكوفي	الهروي	2
الزينبي	الموصل	3
الباطني	المولي	3
الجعفي	المولي	5
الازجي	النجار	3
الكندي	اليمن	9
الباهلي	الرقي	2
اشبيلية	الشام	13
المرية	المولي	4
القيروان	المدينة	4
الميهني	رباط	6
الكوفة	سجستان	4
الصعيد	المدينة	3
بعلبك	صرخد	6
البصرة	الغفاري	2
اللغوي	مكة	6
القيسي	المغربي	4
الطالقان	المداءن	2
المهلبي	مصر	5
الاموي	المءذن	2
الاسدي	الحنفي	6
الفقيه	المروروذي	6
الاصبهاني	الخياط	6
الرومي	الكاتب	3
الكاتب	الكرخي	4
البلنسي	القاضي	10
الترمذي	المحدث	2
البيع	الكرخي	2
الرقي	مصر	8
الاديب	المصري	42
الشافعي	العبادي	3
الاشبيلي	المالكي	2
الدني	الموصل	3
القيروان	النحوي	3
مصر	مكة	217
الجزيرة	رباط	4
السمعاني	القاضي	2
الامير	بعلبك	23
الكوفي	حلب	7
العراق	اللغوي	9
القيرواني	بغداد	5
الشاعر	واسط	11
اصبهان	صرخد	2
البصري	الرومي	2
الغرناطي	تونس	2
الموصل	بارين	2
القاهرة	المحلي	4
حلب	نهاوند	2
الثعلبي	القاضي	2
الشيباني	بخارى	2
النظامي	خوارزم	2
التمار	الموصلي	2
المولي	اليمن	26
الخاتون	القاضي	3
الاديب	الخزرجي	2
الاطرابلسي	مكة	2
البغدادي	الطبيب	8
العراق	خلاط	3
البغدادي	السكري	13
العراق	غزنة	10
الدمياطي	المولي	2
العلاف	الواسطي	2
الفقيه	المازني	3
الفارس	القاضي	3
الاعرج	طرابلس	2
الارمني	المصري	2
المنصورة	حران	2
المتولي	النيسابوري	3
الحضرمي	القاضي	10
العراق	الموصلي	5
الحجاز	نسف	4
الحيرة	الفقيه	3
الظفري	المقريء	2
الحميدي	الفقيه	3
اذربيجان	الخويي	2
التميمي	السمرقندي	4
الري	حران	6
الزجاج	حلب	2
الحجاز	قاسيون	2
الجبال	سلماس	2
الشيرازي	الكاتب	3
المصيصي	حلب	4
الحلبي	العراق	7
الري	المنقري	2
الامير	جرجان	8
المالكي	المغربي	23
البصرة	الجرجاني	4
الكوفي	الهلالي	11
الاسكندري	الشاهد	2
الاديب	الاهواز	2
