Source	Target	Weight
القاهرة	القضاعي	2
الشاعر	النيلي	2
الاسكندراني	رباط	2
الابار	سبتة	3
القرطبي	المحدث	4
الكاملي	حران	2
القاضي	مراكش	7
هراة	واسط	3
الاسكندري	المغرب	2
المقريء	حران	8
الحاسب	الحساب	2
الصوفي	الغوري	2
مصر	هراة	9
الصعيد	القاضي	6
التاجر	المغرب	2
الاسكندراني	الكتبي	2
التاجر	الحموي	5
الحنفي	السمرقندي	2
الشريشي	بغداد	2
القوي	مصر	2
اليمن	صفد	2
سمرقند	غزنة	3
الاشعري	قرطبة	6
الازدي	المصري	3
الصوفي	اليمن	3
البغدادي	النحوي	8
الاسكندرية	الصعيدي	2
البلنسي	المولي	2
الاندلسي	الروم	6
البغدادي	الشافعي	15
الحنفي	القرشي	9
القزويني	مصر	2
الواسطي	شيراز	2
الشام	المزة	4
الكتبي	حلب	2
حران	مكة	11
القاضي	القاهرة	68
الفراوي	نيسابور	2
الحنفي	المولي	10
الاسكندراني	المغربي	2
المغربي	تلمسان	3
الحبشي	الطواشي	10
جماعيل	قاسيون	2
العراق	حماة	3
اشبيلية	الاشبيلي	31
الاربلي	الشام	9
التركي	حماة	4
الحلة	الكوفة	4
الغافقي	مراكش	2
الشاطبي	المفيد	2
الجبال	مصر	5
النحوي	الواسطي	3
البهنسا	القاهرة	2
الاسكندرية	مصر	90
الجزيرة	الشام	14
حران	ديار بكر	2
النحوي	مرسية	2
الكرك	حماة	3
الاسكندراني	فارس	5
البغدادي	القرشي	8
العراقي	الفقيه	3
القيسي	دمشق	14
المدينة	حماة	5
الانصاري	اللغوي	2
العراق	مكة	7
الشافعي	حوران	2
المالكي	سجلماسة	2
البغدادي	النابلسي	2
البصري	المستنصري	4
الصوفي	الفارسي	7
العطار	النيسابوري	2
الشاعر	القلبي	4
القرطبي	سبتة	8
الرملة	دمشق	2
السبتي	القيسي	2
العراقي	قاسيون	2
المغربي	فاس	7
الرومي	الموصلي	2
القرشي	الهاشمي	6
الارموي	البغدادي	3
زملكا	طرابلس	2
الخزرجي	الغرناطي	2
الانصاري	الشافعي	41
المحدث	مصر	55
البارع	المغرب	2
الدمشقي	صهيون	3
اربل	الماراني	2
الصوفي	الهاشمي	4
افريقية	المغرب	2
المءذن	دمشق	13
النجم	بغداد	2
اصبهان	حلب	21
مكة	واسط	6
الانباري	البغدادي	6
الشاعر	الفاءق	2
الفرضي	النظامي	2
البغدادي	المقريء	84
اشبيلية	البلنسي	4
الشاعر	العراق	6
الاسدي	الموصلي	2
الهكاري	حلب	3
الابيض	التاجر	2
الفاسي	المقريء	2
النحوي	النحوي	2
الجزيرة	ديار بكر	2
البصري	الحنبلي	3
قوص	مصر	12
طرابلس	مصر	4
البعلبكي	دمشق	15
القرشي	مرسية	2
المقريء	مردا	4
الاديب	الحموي	4
