ID	Label	latitude	longitude
آمد	آمد	37.91583	40.21889
ابرقوه	ابرقوه	31.130609	53.284035
ابهر	ابهر	36.153622	49.228363
ابيورد	ابيورد	37.345703	59.52884
اخميم	اخميم	26.56217	31.74503
اذربيجان	اذربيجان	37.997894	46.5271
اذنة	اذنة	37.00167	35.32889
اران	اران	40.448619	48.197021
اربل	اربل	36.19257	44.01062
ارجان	ارجان	31.666667	50.333333
اردبيل	اردبيل	38.2498	48.2933
ارمينية	ارمينية	40.014153	43.791504
استجة	استجة	37.5422	-5.0826
استراباذ	استراباذ	36.84165	54.44361
استوا	استوا	37.091116	57.870483
اسداباذ	اسداباذ	34.78241	48.11853
اسفرايين	اسفرايين	37.076389	57.51
اسوان	اسوان	24.09343	32.90704
اسيوط	اسيوط	27.178312	31.185926
اشبيلية	اشبيلية	37.38241	-5.97613
اشمون	اشمون	27.77576	30.80587
اشير	اشير	35.97544	3.1403
اصبهان	اصبهان	32.65722	51.67761
اصطخر	اصطخر	29.9368	52.89
اغمات	اغمات	31.4225	-7.801111
افريقية	افريقية	35.109125	9.624023
الاردن	الاردن	32.849827	35.338898
الاسكندرية	الاسكندرية	31.21564	29.95527
الانبار	الانبار	33.425	43.716667
الاندلس	الاندلس	39.578597	-3.735352
الاهواز	الاهواز	31.3203	48.6693
البحرين	البحرين	26.159383	49.592285
البصرة	البصرة	30.53302	47.79747
البلقاء	البلقاء	32.057703	35.766038
البهنسا	البهنسا	28.53564	30.65955
البوازيج	البوازيج	35.270402	43.507233
البيرة	البيرة	37.1791	-3.598617
الجبال	الجبال	35.607292	48.449707
الجحفة	الجحفة	22.631884	39.072876
الجزاءر	الجزاءر	36.7525	3.04197
الجزيرة	الجزيرة	36.582011	42.484131
الجيزة	الجيزة	30.076292	31.208903
الحبشة	الحبشة	13.761262	39.155273
الحجاز	الحجاز	23.285756	39.572754
الحضر	الحضر	35.5729	42.73395
الحلة	الحلة	32.46367	44.41963
الحميمة	الحميمة	30	35.333
الحيرة	الحيرة	32.00048	44.330839
الديلم	الديلم	36.853692	48.974304
الرافقة	الرافقة	35.947189	39.052792
الرقة	الرقة	35.95283	39.00788
الرملة	الرملة	31.931566	34.872938
الروم	الروم	39.201611	33.991699
الري	الري	35.69439	51.42151
الزبداني	الزبداني	33.72488	36.1005
الزهراء	الزهراء	37.888029	-4.867787
السند	السند	27.023899	68.444824
السودان	السودان	18.904208	32.827148
السوس	السوس	32.1942	48.2436
الشام	الشام	34.672973	37.155762
الشبلية	الشبلية	40.442976	72.222748
الصعيد	الصعيد	24.147756	33.019409
الطائف	الطائف	21.27028	40.41583
الطابران	الطابران	36.41747	59.638939
الطالقان	الطالقان	36.351412	64.879761
الطالقان	الطالقان	36.39373	50.38823
العباسة	العباسة	30.5348	31.71709
العراق	العراق	32.270413	45.032959
الغوطة	الغوطة	33.527	36.389
الفرما	الفرما	31.04259	32.53998
الفسطاط	الفسطاط	30.009433	31.233037
الفيوم	الفيوم	29.315381	30.834503
القادسية	القادسية	34.072114	43.983078
القاهرة	القاهرة	30.028239	31.253486
القدس	القدس	31.76904	35.21633
القسطنطينية	القسطنطينية	41.014206	29.029312
القيروان	القيروان	35.6781	10.09633
الكرج	الكرج	34.407816	49.235229
الكرك	الكرك	31.164806	35.761882
الكوفة	الكوفة	32.03472	44.40333
اللاذقية	اللاذقية	35.51484	35.77684
المداءن	المداءن	33.097517	44.581361
المدينة	المدينة	24.46861	39.61417
المرية	المرية	36.83814	-2.45974
المزة	المزة	33.503056	36.258333
المشهد	المشهد	36.31559	59.56796
المصيصة	المصيصة	36.95778	35.619478
المعرة	المعرة	35.64903	36.680259
المغرب	المغرب	33.291967	-4.790039
المنصورة	المنصورة	31.44631	74.52702
المنكب	المنكب	36.73393	-3.69072
المهدية	المهدية	35.502446	11.045721
الموصل	الموصل	36.335	43.11889
النوبة	النوبة	23.886842	32.931519
الهاشمية	الهاشمية	32.37447	44.65709
الهكارية	الهكارية	37.60357	43.643188
الهند	الهند	25.526581	71.740723
اليمامة	اليمامة	24.302548	46.799011
اليمن	اليمن	14.953277	44.868164
امل	امل	36.46961	52.35072
امل	امل	39.085411	63.535995
انطاكية	انطاكية	36.20655	36.15722
اوانا	اوانا	34.093838	43.921967
اوريولة	اوريولة	38.08483	-0.94401
ايذج	ايذج	31.840699	49.872437
ايلة	ايلة	29.52667	35.00778
باجة	باجة	36.72564	9.18169
باجة	باجة	38.01506	-7.86323
بارين	بارين	34.94535	36.41064
بالس	بالس	35.98333	38.1
بجانة	بجانة	37.34612	-2.57895
بجاية	بجاية	36.75	5.066667
بخارى	بخارى	39.77472	64.42861
برقة	برقة	31.990374	20.264282
بروجرد	بروجرد	33.8973	48.7516
بزاعة	بزاعة	36.36994	37.51788
بست	بست	31.5832	64.360291
بسطام	بسطام	36.48534	54.99959
بسطة	بسطة	37.49073	-2.77259
بطليوس	بطليوس	38.87789	-6.97061
بعقوبا	بعقوبا	33.75	44.633333
بعلبك	بعلبك	34.00583	36.21806
بغداد	بغداد	33.340309	44.344082
بغشور	بغشور	34.625072	62.655029
بلبيس	بلبيس	30.42039	31.56223
