unknown 0	appoints	Fayrūz al-Jārkasī al-Sāqī 19
unknown 0	appoints	al-Muʾayyad Shaykh 12
unknown 0	appoints	ʾĀqbughā al-Timrāzī  25
unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28
unknown 0	appoints	Taghrī Birdī al-Muʾadhī 29
unknown 0	appoints	Qarājā (Qarāqujā) al-Ḥasanī  31
unknown 0	appoints	ʾUrkmās al-Ẓāhirī al-Dawādār 30
unknown 0	appoints	Timrāz al-Qurmishī  27
al-Muʾayyad Shaykh 12	appoints	Nawrūz al-Ḥāfiẓī 35
al-Muʾayyad Shaykh 12	appoints	Yalbughā al-Nāṣirī al-Ẓāhirī 39
al-Muʾayyad Shaykh 12	appoints	Ṭūghān al-Ḥasanī 40
al-Muʾayyad Shaykh 12	appoints	Shāhīn al-ʾAfram 41
al-Muʾayyad Shaykh 12	appoints	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42
al-Muʾayyad Shaykh 12	appoints	Sūdūn al-ʾAshqar 43
unknown 0	appoints	Tanam al-Muʾayyadī 227
unknown 0	appoints	Qānī Bāy al-Jārkasī 44
unknown 0	appoints	Qānibak al-ʾAshrafī 46
Nawrūz al-Ḥāfiẓī 35	appoints	ʿĪsā al-Maghribī 48
unknown 0	appoints	Muḥammad b. al-Tabbānī 50
al-Ẓāhir Jaqmaq 2	promotes	Jarbāsh Qāshiq al-Karīmī 51
unknown 0	appoints	Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55
unknown 0	appoints	Damurdāsh al-Muḥammadī 67
unknown 0	appoints	Nāṣir al-Dīn b. al-Bārizī 71
unknown 0	appoints	ʿAlī b. Nāṣir al-Dīn Muḥammad 79
Nawrūz al-Ḥāfiẓī 35	appoints	Kastā* 84
unknown 0	appoints	ʾĀqbughā al-Timrāzī  25
unknown 0	appoints	Yashbak al-ʾAtābakī al-Mushidd 28
unknown 0	appoints	Jarbāsh Qāshiq al-Karīmī 51
unknown 0	appoints	ʾIbrāhīm b. al-Bāʿūnī 98
unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53
unknown 0	appoints	Sharaf al-Dīn Yaʿqūb al-Tabbānī 63
unknown 0	promotes	ʾAlṭunbughā al-Marqabī  97
unknown 0	appoints	Kamāl al-Dīn b. al-Bārizī 99
unknown 0	appoints	ʾAsanbughā al-Ṭayyārī 73
unknown 0	appoints	ʾĪnāl al-ʾAshrafī al-Faqīh 21
al-Muʾayyad Shaykh 12	appoints	Damurdāsh al-Muḥammadī 67
unknown 0	appoints	Walī al-Dīn Muḥammad al-Safṭī 111
unknown 0	promotes	Ṣukhra 112
unknown 0	appoints	Zayn al-Dīn Yaḥyā 118
unknown 0	appoints	ʾAḥmad b. al-ʿAjamī 61
unknown 0	appoints	Ibn Qāḍī Shuhba 125
unknown 0	appoints	ʾAmīn al-Dīn al-Nuwayrī 127
al-Muʾayyad Shaykh 12	appoints	Taghrī Birdī Sayyidī al-Ṣaghīr 65
unknown 0	appoints	ʾAqbughā min Māmish al-Nāṣirī 139
unknown 0	appoints	Khalīl al-Jashārī 92
unknown 0	appoints	Shihāb al-Dīn ʾAḥmad al-ʾUmawī 49
unknown 0	appoints	unknown 0
unknown 0	appoints	Damurdāsh al-Muḥammadī 67
unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53
unknown 0	appoints	Qurqmās Sayyidī al-Kabīr 53
