unknown 0	sibling of	Jakam min ʿIwaḍ al-Ẓāhirī 1277
al-Ẓāhir Jaqmaq 2	parent of	al-Nāṣirī Muḥammad 81
al-Ẓāhir Jaqmaq 2	parent of	al-Manṣūr ʿUthmān b. Jaqmaq 819
al-Ẓāhir Jaqmaq 2	parent of	al-Manṣūr ʿUthmān b. Jaqmaq 819
al-Ẓāhir Jaqmaq 2	parent of	ʾAḥmad 1381
al-Ẓāhir Jaqmaq 2	parent of	Bint al-Ẓāhir Jaqmaq 1482
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 1498
al-Ẓāhir Jaqmaq 2	parent of	Fāṭima 1502
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 1503
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 1522
al-Ẓāhir Jaqmaq 2	parent of	Khadīja bt al-Ẓāhir Jaqmaq 2320
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 2431
al-Ẓāhir Jaqmaq 2	parent of	ʾawlād Shāh Zādah bint Ibn ʿUthmān 4040
al-Ẓāhir Jaqmaq 2	parent of	Khadīja bt al-Ẓāhir Jaqmaq 2320
al-Ẓāhir Jaqmaq 2	parent of	Fāṭima 1502
al-Ẓāhir Jaqmaq 2	sibling of	ʾukht al-Ẓāhir Jaqmaq 1409
al-Ẓāhir Jaqmaq 2	sibling of	ʾakhu l-Ẓāhir Jaqmaq 1579
al-Ẓāhir Jaqmaq 2	sibling of	ʾukht al-Ẓāhir Jaqmaq 2428
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	relative of	Muḥammad b. al-Fakhrī ʿUthmān 3180
al-Ẓāhir Jaqmaq 2	relative of	Mamjiq al-Nawrūzī 598
ʾĪnāl al-Yūsufī al-ʾAtābak 3	parent of	ʿAlī b. ʾĪnāl al-Yūsufī 5
ʾĪnāl al-Yūsufī al-ʾAtābak 3	sibling of	ʾUzdamur ʾAkhū ʾĪnāl al-Yūsufī 1856
ʾĪnāl al-Yūsufī al-ʾAtābak 3	relative of	ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693
ʾĪnāl al-Yūsufī al-ʾAtābak 3	relative of	Muḥammad 2251
al-Ẓāhir Barqūq 4	parent of	al-Nāṣir Faraj b. Barqūq 14
al-Ẓāhir Barqūq 4	parent of	Khawand Zaynab 3597
al-Ẓāhir Barqūq 4	parent of	al-Malik al-Manṣūr ʿAbd al-ʿAzīz  2002
al-Ẓāhir Barqūq 4	parent of	Khawand Bayram 4049
al-Ẓāhir Barqūq 4	parent of	ʾawlād al-Ẓāhir Barqūq 4070
al-Ẓāhir Barqūq 4	parent of	ʾIbrāhīm bn. Barqūq 4071
al-Ẓāhir Barqūq 4	parent of	Sārā bint al-Ẓāhir Barqūq 2752
al-Ẓāhir Barqūq 4	parent of	Muḥammad b. Barqūq 1748
al-Ẓāhir Barqūq 4	sibling of	ʿĀʾisha bt. ʾAnas 2903
