unknown 0	zawj of	ʾArdu 3970
al-Ẓāhir Jaqmaq 2	in-law of	Kamāl al-Dīn b. al-Bārizī 99
al-Ẓāhir Jaqmaq 2	in-law of	Sūdūn al-Muḥammadī 3164
al-Ẓāhir Jaqmaq 2	zawj of	Mughul bint al-Bārizī 319
al-Ẓāhir Jaqmaq 2	zawj of	Zaynab bt. Jarbāsh Qāshiq 555
al-Ẓāhir Jaqmaq 2	zawj of	Nafīsa bt. Muḥammad Bak 562
al-Ẓāhir Jaqmaq 2	zawj of	Bint Kurtbāy 2242
al-Ẓāhir Jaqmaq 2	zawj of	Shāh Zādah bint Ibn ʿUthmān 2983
al-Ẓāhir Jaqmaq 2	zawj of	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085
al-Ẓāhir Jaqmaq 2	zawj of	Bint Sulaymān b. Dulghādir 2779
al-Ẓāhir Jaqmaq 2	zawj of	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085
al-Ẓāhir Jaqmaq 2	zawj of	Mughul bint al-Bārizī 319
al-Ẓāhir Jaqmaq 2	ḥam of	ʾUzbak min Ṭuṭukh al-Sāqī 876
al-Ẓāhir Jaqmaq 2	ḥam of	Kamāl al-Dīn b. al-Bārizī 99
al-Ẓāhir Barqūq 4	zawj of	Ḥāj Malak bt. Ibn Qarā 2426
al-Ẓāhir Barqūq 4	zawj of	Hājar bint Manklī Bughā al-Shamsī 1558
al-Ẓāhir Barqūq 4	zawj of	zawjāt al-Ẓāhir Barqūq 3966
al-Ẓāhir Barqūq 4	zawj of	ʾArdu 3970
al-Ẓāhir Barqūq 4	zawj of	Shīrīn al-Rūmīya 2741
al-Ẓāhir Barqūq 4	zawj of	ʾUkht Muḥammad b. al-Ṭūlūnī 4483
al-Ẓāhir Barqūq 4	ḥam of	ʿAbd al-Raḥmān b. Manklī Bughā 1745
Qurqmās al-Shaʿbānī 11	zawj of	Nafisāʾ bint al-Muʾayyad 3809
Qurqmās al-Shaʿbānī 11	zawj of	Bint al-Nāṣir Faraj 3884
al-Muʾayyad Shaykh 12	zawj of	Khawand Khadīja 631
al-Muʾayyad Shaykh 12	zawj of	Khawand 1116
al-Muʾayyad Shaykh 12	zawj of	Quṭlubāy 1074
al-Muʾayyad Shaykh 12	zawj of	Saʿādāt 1365
al-Muʾayyad Shaykh 12	zawj of	Khawand Zaynab 3597
al-Muʾayyad Shaykh 12	zawj of	Manjak 4454
al-Muʾayyad Shaykh 12	ḥam of	Fakhr al-Dīn b. ʾAbi l-Faraj 214
al-Muʾayyad Shaykh 12	ḥam of	Ṭūghān al-Ḥasanī 40
al-Muʾayyad Shaykh 12	ḥam of	ʾAḥmad b. Tanam 435
al-Muʾayyad Shaykh 12	ḥam of	ʾAlṭunbughā al-Qurmushī 221
al-Nāṣir Faraj b. Barqūq 14	zawj of	Fāṭima 2402
al-Nāṣir Faraj b. Barqūq 14	zawj of	Khawand bint Ṣuruq 4312
al-Nāṣir Faraj b. Barqūq 14	ḥam of	ʾIsfandiyār b. ʾAbī Yazīd 3392
al-Nāṣir Faraj b. Barqūq 14	ḥam of	Baktamur Jullaq 220
Fatḥ Allāh al-Tabrīzī 16	zawj of	bint Shaykh al-Ṣafawī 2928
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	in-law of	Yūsuf b. Taghrī Birdī 924
Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	zawj of	Hājir bint Taghrī Birdī 2747
al-ʾAshraf Barsbāy 24	zawj of	Fāṭima bt. Qujqār 1238
al-ʾAshraf Barsbāy 24	zawj of	Julbān al-Hindī 260
al-ʾAshraf Barsbāy 24	zawj of	Fāṭima bt. al-Ẓāhir Ṭaṭar 3387
al-ʾAshraf Barsbāy 24	zawj of	Julbān al-Hindī 260
al-ʾAshraf Barsbāy 24	zawj of	Shāh Zādah bint Ibn ʿUthmān 2983
al-ʾAshraf Barsbāy 24	zawj of	bint Yashbak al-ʾAʿraj 3784
ʾĀqbughā al-Timrāzī  25	zawj of	ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751
ʾĀqbughā al-Timrāzī  25	zawj of	ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751
Jānim al-ʾAshrafī  26	zawj of	Jān Sūz* al-Jārkasīya 2407
Jānim al-ʾAshrafī  26	zawj of	Bint Dawlāt Bāy al-Muʾayyadī 4160
Timrāz al-Qurmishī  27	zawj of	ʾArdbāy* al-Jārkasīya 1515
Yashbak al-ʾAtābakī al-Mushidd 28	zawj of	Sitt al-Mulūk Bint al-Ẓāhir Ṭaṭar 1360
Nawrūz al-Ḥāfiẓī 35	in-law of	ʾĪnāl al-Rajabī 222
Nawrūz al-Ḥāfiẓī 35	zawj of	Sārā bint al-Ẓāhir Barqūq 2752
Ṭūghān al-Ḥasanī 40	zawj of	Bint al-Muʾayyad 2930
Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	zawj of	ḥarīm Qānī Bāy al-Ṣaghīr al-Muḥammadī 4426
Qānī Bāy al-Jārkasī 44	zawj of	zawjat Qānī Bāy al-Jarkasī 2505
Jarbāsh Qāshiq al-Karīmī 51	zawj of	Bint Qānī Bāy 3719
Jarbāsh Qāshiq al-Karīmī 51	ḥam of	al-Ẓāhir Jaqmaq 2
ʾAḥmad b. al-ʿAjamī 61	ḥam of	zawj ʾibnat Ibn al-ʿAjamī 1580
Damurdāsh al-Muḥammadī 67	zawj of	ʾUmm Taghrī Birdī Sayyidī al-Ṣaghīr 4105
Ḥasan b. Muḥibb al-Dīn 70	zawj of	zawjat Ḥasan b. Muḥibb al-Dīn 514
Ḥasan b. Muḥibb al-Dīn 70	zawj of	Ḥāj Malak bt. Ibn Qarā 2426
Nāṣir al-Dīn b. al-Bārizī 71	ḥam of	Kizil al-ʾArghūn Shāwī 673
Baybughā al-Muẓaffarī 74	zawj of	Khawand Qunuqbāy  3892
Yashbak b.ʾUzdamur 77	zawj of	Bint Taghrī Birdī al-Bashbughāwī  3029
ʿAbd al-Bāsiṭ al-Dimashqī 80	zawj of	Shukrbayh 378
al-Nāṣirī Muḥammad 81	zawj of	Khadīja bint ʾĀqṭuwah  3959
al-Nāṣirī Muḥammad 81	zawj of	Sāra bint ʾĀqbughā al-Timrāzī 1521
Jānibak al-Ṣūfī 83	in-law of	Fakhr al-Dīn b. al-Muzawwiq 1438
Jānibak al-Ṣūfī 83	zawj of	Nafīsa bt. Muḥammad Bak 562
Jānibak al-Ṣūfī 83	zawj of	Nafīsa bt. Muḥammad Bak 562
Jānibak al-Ṣūfī 83	ḥam of	ʾaṣhār Jānibak al-Ṣūfī 1141
Kamāl al-Dīn b. al-Bārizī 99	in-law of	Dāwud b. al-Kuwayz 203
Kamāl al-Dīn b. al-Bārizī 99	in-law of	al-Ẓāhir Jaqmaq 2
Kamāl al-Dīn b. al-Bārizī 99	zawj of	zawjat Kamāl al-Dīn b. al-Bārizī 1519
Nāṣir al-Dīn b. al-ʿAdīm 101	in-law of	Yūsuf b. Taghrī Birdī 924
Nāṣir al-Dīn b. al-ʿAdīm 101	zawj of	ʾukht ibn Taghrī Birdī 3436
Walī al-Dīn Muḥammad al-Safṭī 111	in-law of	Muḥammad b. al-Shiḥna  711
Walī al-Dīn Muḥammad al-Safṭī 111	zawj of	Khadīja Khātūn 675
Tāj al-Dīn Tāj al-Shawīkī 116	zawj of	‘Umm Muḥammad 4090
Tāj al-Dīn Tāj al-Shawīkī 116	zawj of	Zuhayr al-Jankīya 4091
Zayn al-Dīn Yaḥyā 118	in-law of	Tāj al-Dīn ʿAbd Allāh b. al-Maqsī 1050
ʾĪnāl al-Jakamī 126	zawj of	Quṭlubāy 1074
Jahān Shāh b. Qarā Yūsuf 140	zawj of	nisāʾ ʾIskandar b. Qarā Yūsuf 764
ʾIskandar b. Qarā Yūsuf 141	zawj of	zawjat ʾIskandar b. Qarā Yūsuf 3407
ʾAḥmad Jūkī b. Shāh Rukh 142	zawj of	Ibnat ʿUthman Qarā Yulūk 3411
Shāh Rukh b. Tīmūrlank 143	in-law of	Qarā Yūsuf b. Qarā Muḥammad 331
Shāh Rukh b. Tīmūrlank 143	zawj of	Kuhar Shāh 3993
Ḥusayn b. Nuʿayr 168	zawj of	bint Fasilīs* 395
Qānī Bāy al-Ḥamzāwī 176	zawj of	zawjat Qānī Bāy al-Ḥamzāwī 1654
Dāwud b. al-Kuwayz 203	in-law of	Kamāl al-Dīn b. al-Bārizī 99
Dāwud b. al-Kuwayz 203	zawj of	Mughul bint al-Bārizī 319
Dāwud b. al-Kuwayz 203	ḥam of	Kamāl al-Dīn b. al-Bārizī 99
