source	target	weight
 al-Malik al-Kāmil Khalīl  3020	al-Malik al-Nāṣir 3272	1
 al-Malik al-Kāmil Khalīl  3020	al-Malik al-ʿĀdil Sulaymān 3679	1
 al-Malik al-Kāmil Khalīl  3020	al-Nāṣir ʾAḥmad b. al-Malik al-Kāmil 3383	1
 al-Malik al-Kāmil Khalīl  3020	ʿUthmān Qarā Yuluk 397	1
 al-Malik al-Kāmil Khalīl  3020	Ḥusayn b. ʿUthmān b. al-ʾAshraf 3382	1
Abū l-Saʿādāt al-Bulqīnī 3370	Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	1
Abū l-Saʿādāt al-Bulqīnī 3370	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	1
Abū l-Saʿādāt al-Bulqīnī 3370	Janna bt. Tāj al-Dīn al-Bulqīnī 4524	1
Abū l-Saʿādāt al-Bulqīnī 3370	Qāsim b. al-Bulqīnī 1038	1
Abū l-Saʿādāt al-Bulqīnī 3370	Sirāj al-Dīn ʿUmar al-Bulqīnī  3690	1
Abū l-Saʿādāt al-Bulqīnī 3370	ʾAḥmad b. Tāj al -Dīn al-Bulqīnī 4523	1
Abū l-Saʿādāt al-Bulqīnī 3370	ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	1
Abū l-Saʿādāt al-Bulqīnī 3370	ʿAlī b. Tāj al-Dīn al-Bulqīnī 4522	1
Abū l-Saʿādāt al-Bulqīnī 3370	ʿayāl Tāj al-Dīn al-Bulqīnī 4518	1
Badr al-Dīn Muḥammad al-Mālikī 3820	Fakhr al-Dīn ʾAḥmad b. ʿAbd Allāh 3681	1
Badr al-Dīn Muḥammad b. Muzhir 3617	al-Jalāl Muḥammad b. Muzhir 2476	1
Badr al-Dīn Muḥammad b. Muzhir 3617	ʾAḥmad b. Muzhir 2385	1
Badr al-Dīn al-Bulqīnī 3689	Bint Sirāj al-Dīn al-Bulqīnī 4501	1
Badr al-Dīn al-Bulqīnī 3689	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	1
Badr al-Dīn al-Bulqīnī 3689	Qāsim b. al-Bulqīnī 1038	1
Badr al-Dīn al-Bulqīnī 3689	Raslān al-Bulqīnī 4397	1
Badr al-Dīn al-Bulqīnī 3689	Raslān al-Bulqīnī al-Shāfiʿī 4175	1
Badr al-Dīn al-Bulqīnī 3689	Sirāj al-Dīn ʿUmar al-Bulqīnī  3690	1
Badr al-Dīn al-Bulqīnī 3689	Taqī al-Dīn al-Bulqīnī 1394	1
Badr al-Dīn al-Bulqīnī 3689	Tāj al-Dīn Muḥammad al-Bulqīnī 3163	1
Badr al-Dīn al-Bulqīnī 3689	Walī al-Dīn ʾAḥmad 1395	1
Badr al-Dīn al-Bulqīnī 3689	bint Bahāʾ al-Dīn b. ʿAqīl al-Shāfiʿī 3799	1
Badr al-Dīn al-Bulqīnī 3689	ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	1
Badr al-Dīn al-Subkī 4378	Muḥammad b. ʾAbī al-Baqāʾ 2863	1
Badr al-Dīn al-Subkī 4378	Walī al-Dīn al-Subkī 4377	1
Badr al-Dīn al-Subkī 4378	ʾAbi l-Baqāʾ Muḥammad 4715	1
Badr al-Dīn al-ʿAynī 462	Khātūn 2918	1
Badr al-Dīn al-ʿAynī 462	Shakarbāy al-ʾAḥmadīya 2860	1
Badr al-Dīn al-ʿAynī 462	al-Shihābī ʾAḥmad b. al-ʿAynī 2922	1
Badr al-Dīn al-ʿAynī 462	al-Zaynī ʿAbd al-Raḥīm 2920	1
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Naṣr Allāh b. Ḥasan  4146	1
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Sharaf al-Dīn ʾAbu l-Ṭayyib 929	1
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	ʾAwlād ʿAbd al-Wahhāb al-Fawwī 4264	1
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	ʿAbd al-Raḥmān b. ʿAbd al-Wahhāb b. Naṣr Allāh 595	1
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	ʿAbd al-Wahhāb al-Fawwī 2399	1
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	Ḥasan b. Muḥammad 4145	1
Badīʿ b. Nafīs 4420	Fatḥ Allāh al-Tabrīzī 16	1
Badīʿ b. Nafīs 4420	Mustaʿṣim b. Nafīs 4419	1
Badīʿ b. Nafīs 4420	Nafīs 4418	1
Bahāʾ al-Dīn al-Ṭablāwī 4352	Nāṣir al-Dīn Muḥammad b. Satīt 4353	1
Bahāʾ al-Dīn al-Ṭablāwī 4352	Nāṣir al-Dīn b. al-Ṭablāwī 4354	1
Bahāʾ al-Dīn al-Ṭablāwī 4352	ʾaqārib ʿAlī b. al-Ṭablāwī 4356	1
Bahāʾ al-Dīn b. ʿAqīl al-Shāfiʿī 3800	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	1
Bahāʾ al-Dīn b. ʿAqīl al-Shāfiʿī 3800	ʾIsḥāq b. ʾIbrāhīm b. Qaramān 3752	1
Bakkār b. Raḥḥāb 3514	ʾawlād Bakkār b. Raḥḥāb 3515	1
Bakkār b. Raḥḥāb 3514	ʿĪsā b. Raḥḥāb 3516	1
Baktamur al-Ḥusaynī 2186	Nāṣir al-Dīn al-Ḥājib 2004	1
Baktamur al-Ḥājib 4211	ʾAqūsh al-ʾAshrafī Nāʾib al-Karak 4212	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	Janna bt. Tāj al-Dīn al-Bulqīnī 4524	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	Qāsim b. al-Bulqīnī 1038	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	Sirāj al-Dīn ʿUmar al-Bulqīnī  3690	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	ʾAḥmad b. Tāj al -Dīn al-Bulqīnī 4523	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	ʿAlī b. Tāj al-Dīn al-Bulqīnī 4522	1
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525	ʿayāl Tāj al-Dīn al-Bulqīnī 4518	1
Banū ʾIsmāʿīl al-Hawwārī 1459	Muḥammad al-Hawwārī 1212	1
Banū ʾIsmāʿīl al-Hawwārī 1459	ʾAḥmad b. ʾIsmāʿīl al-Hawwārī 1460	1
Banū ʾIsmāʿīl al-Hawwārī 1459	ʾaqārib ʾIsmāʿīl al-Hawwārī 1219	1
Banū ʾIsmāʿīl al-Hawwārī 1459	ʿĪsā b. Yūsuf b. ʿUmar al-Hawwārī 575	1
