id,label
 al-Malik al-Kāmil Khalīl  3020, al-Malik al-Kāmil Khalīl  3020
Abū l-Saʿādāt al-Bulqīnī 3370,Abū l-Saʿādāt al-Bulqīnī 3370
Al-Shihāb al-Barīdī 2704,Al-Shihāb al-Barīdī 2704
Badr al-Dīn Muḥammad al-Mālikī 3820,Badr al-Dīn Muḥammad al-Mālikī 3820
Badr al-Dīn Muḥammad al-ʿAsqalānī al-Shāfiʿī 3768,Badr al-Dīn Muḥammad al-ʿAsqalānī al-Shāfiʿī 3768
Badr al-Dīn Muḥammad b. Muzhir 3617,Badr al-Dīn Muḥammad b. Muzhir 3617
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113,Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113
Badr al-Dīn Muḥammad b. al-Saḥmāwī  3755,Badr al-Dīn Muḥammad b. al-Saḥmāwī  3755
Badr al-Dīn al-Bulqīnī 3689,Badr al-Dīn al-Bulqīnī 3689
Badr al-Dīn al-Burjī 4500,Badr al-Dīn al-Burjī 4500
Badr al-Dīn al-Subkī 4378,Badr al-Dīn al-Subkī 4378
Badr al-Dīn al-ʿAynī 462,Badr al-Dīn al-ʿAynī 462
Badr al-Dīn b. Faḍl Allāh 2486,Badr al-Dīn b. Faḍl Allāh 2486
Badr al-Dīn b. Muzhir 1079,Badr al-Dīn b. Muzhir 1079
Badr al-Dīn b. al-Rashīd 721,Badr al-Dīn b. al-Rashīd 721
Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88,Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88
Badr al-Dīn Ḥusayn 913,Badr al-Dīn Ḥusayn 913
Badīʿ b. Nafīs 4420,Badīʿ b. Nafīs 4420
Bahādur al-Jamālī al-Mushrif 1682,Bahādur al-Jamālī al-Mushrif 1682
Bahāʾ al-Dīn al-Burjī 3258,Bahāʾ al-Dīn al-Burjī 3258
Bahāʾ al-Dīn al-Ṭablāwī 4352,Bahāʾ al-Dīn al-Ṭablāwī 4352
Bahāʾ al-Dīn b. ʿAqīl al-Shāfiʿī 3800,Bahāʾ al-Dīn b. ʿAqīl al-Shāfiʿī 3800
Bakkār b. Raḥḥāb 3514,Bakkār b. Raḥḥāb 3514
Baklamish b. Farā 1587,Baklamish b. Farā 1587
Baktamur Jullaq 220,Baktamur Jullaq 220
Baktamur al-Mu‘minī 2255,Baktamur al-Mu‘minī 2255
Baktamur al-Sāqī 4183,Baktamur al-Sāqī 4183
Baktamur al-Ḥusaynī 2186,Baktamur al-Ḥusaynī 2186
Baktamur al-Ḥājib 4211,Baktamur al-Ḥājib 4211
Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525,Balqīs bt. Tāj al-Dīn al-Bulqīnī 4525
Banū ʾIsmāʿīl al-Hawwārī 1459,Banū ʾIsmāʿīl al-Hawwārī 1459
Banū ʿAjlān 2273,Banū ʿAjlān 2273
Barakāt b. ʿAjlān 293,Barakāt b. ʿAjlān 293
Barsbughā 286,Barsbughā 286
Barsbāy al-Bajāsī 894,Barsbāy al-Bajāsī 894
Baybars al-ʾAshrafī 324,Baybars al-ʾAshrafī 324
Baybars al-Ẓāhirī 1830,Baybars al-Ẓāhirī 1830
Baybars b. Baqr 90,Baybars b. Baqr 90
Baybughā al-Muẓaffarī 74,Baybughā al-Muẓaffarī 74
Bayghūt  al-Muʾayyadī al-ʾAʿraj 665,Bayghūt  al-Muʾayyadī al-ʾAʿraj 665
Bayghūt al-Ẓāhirī 1886,Bayghūt al-Ẓāhirī 1886
Bayram Khujā 3543,Bayram Khujā 3543
Bayram bint Taghrī Birdī 2746,Bayram bint Taghrī Birdī 2746
Baysaq al-Shaykhī al-Ẓāhirī 1885,Baysaq al-Shaykhī al-Ẓāhirī 1885
Bint Birdibak 2245,Bint Birdibak 2245
Bint Dawlāt Bāy al-Muʾayyadī 4160,Bint Dawlāt Bāy al-Muʾayyadī 4160
Bint Jānibak al-Ṣūfī 563,Bint Jānibak al-Ṣūfī 563
Bint Kurtbāy 2242,Bint Kurtbāy 2242
Bint Qānī Bāy 3719,Bint Qānī Bāy 3719
Bint Sirāj al-Dīn al-Bulqīnī 4501,Bint Sirāj al-Dīn al-Bulqīnī 4501
Bint Sulaymān b. Dulghādir 2779,Bint Sulaymān b. Dulghādir 2779
Bint Sūdūn min ʿAbd al-Raḥman 3928,Bint Sūdūn min ʿAbd al-Raḥman 3928
Bint Taghrī Birdī al-Bashbughāwī  3029,Bint Taghrī Birdī al-Bashbughāwī  3029
Bint Zayn al-Dīn ʿUmar al-Basṭāmī 4456,Bint Zayn al-Dīn ʿUmar al-Basṭāmī 4456
Bint al-Malik al-Manṣūr Muḥammad 4497,Bint al-Malik al-Manṣūr Muḥammad 4497
Bint al-Malik al-Manṣūr Ḥājjī 2408,Bint al-Malik al-Manṣūr Ḥājjī 2408
Bint al-Mustakfī bi-llāh 1483,Bint al-Mustakfī bi-llāh 1483
Bint al-Muʾayyad 2930,Bint al-Muʾayyad 2930
Bint al-Nāṣir Faraj 2375,Bint al-Nāṣir Faraj 2375
Bint al-Nāṣir Faraj 3884,Bint al-Nāṣir Faraj 3884
Bint al-Nāṣirī Muḥammad b. al-Thallāj 1147,Bint al-Nāṣirī Muḥammad b. al-Thallāj 1147
Bint al-ʾAmīr Damurdāsh 4154,Bint al-ʾAmīr Damurdāsh 4154
Bint al-Ẓāhir Jaqmaq 1482,Bint al-Ẓāhir Jaqmaq 1482
Bint al-Ẓāhir Khushqadam 3358,Bint al-Ẓāhir Khushqadam 3358
Bint ʾAydamur al-dawādār 2888,Bint ʾAydamur al-dawādār 2888
Bint ʾAḥmad ibn al-sulṭān Ḥasan 2887,Bint ʾAḥmad ibn al-sulṭān Ḥasan 2887
Bint ʿAbd al-Razzāq b. al-Hayṣam 3307,Bint ʿAbd al-Razzāq b. al-Hayṣam 3307
Bint ʿAdnān 4191,Bint ʿAdnān 4191
Birdibak al-ʾAshrafī 901,Birdibak al-ʾAshrafī 901
Birdibak al-Ẓāhirī al-Bajmaqdār 1091,Birdibak al-Ẓāhirī al-Bajmaqdār 1091
Burhān al-Dīn 1237,Burhān al-Dīn 1237
Burhān al-Dīn ʾAḥmad 2349,Burhān al-Dīn ʾAḥmad 2349
Burhān al-Dīn ʾIbrāhīm Ibn al-Dīrī 2907,Burhān al-Dīn ʾIbrāhīm Ibn al-Dīrī 2907
Burhān al-Dīn ʾIbrāhīm al-Maḥallī  3697,Burhān al-Dīn ʾIbrāhīm al-Maḥallī  3697
Burhān al-Dīn ʾIbrāhīm al-Ḥanbalī 4608,Burhān al-Dīn ʾIbrāhīm al-Ḥanbalī 4608
Burhān al-Dīn ʾIbrāhīm b. Ẓuhayra 1122,Burhān al-Dīn ʾIbrāhīm b. Ẓuhayra 1122
Buḍaʿ b. Dulghādir 3362,Buḍaʿ b. Dulghādir 3362
Bābūr b. Bāy Sunqūr b. Shāh Rukh 3275,Bābūr b. Bāy Sunqūr b. Shāh Rukh 3275
Bāy Sunqur b. Shāh Rukh 1261,Bāy Sunqur b. Shāh Rukh 1261
Bīr Budaq 1187,Bīr Budaq 1187
Būrī ṣihr Minṭāsh 2996,Būrī ṣihr Minṭāsh 2996
Damurdāsh al-Muḥammadī 67,Damurdāsh al-Muḥammadī 67
Dawlāt Bāy al-Muʾayyadī 273,Dawlāt Bāy al-Muʾayyadī 273
Duqmāq 4677,Duqmāq 4677
Duqmāq al-Muḥammadī 2218,Duqmāq al-Muḥammadī 2218
Dāwud b. Dulghādir 1468,Dāwud b. Dulghādir 1468
Dāwud b. Qaramān 769,Dāwud b. Qaramān 769
Dāwud b. Sayf ʾArʿad 2690,Dāwud b. Sayf ʾArʿad 2690
Dāwud b. al-Kuwayz 203,Dāwud b. al-Kuwayz 203
Dūghān b. Ḥadītha 668,Dūghān b. Ḥadītha 668
Fakhr al-Dīn b. Ghurāb 4443,Fakhr al-Dīn b. Ghurāb 4443
Fakhr al-Dīn b. Qārā 1688,Fakhr al-Dīn b. Qārā 1688
Fakhr al-Dīn b. al-Muzawwiq 1438,Fakhr al-Dīn b. al-Muzawwiq 1438
Fakhr al-Dīn b. ʾAbi l-Faraj 214,Fakhr al-Dīn b. ʾAbi l-Faraj 214
Fakhr al-Dīn ʾAḥmad b. ʿAbd Allāh 3681,Fakhr al-Dīn ʾAḥmad b. ʿAbd Allāh 3681
Faraj b. Sakiz Bāy 2635,Faraj b. Sakiz Bāy 2635
Faraj b. Taghrī Birmish al-Zardkāsh 4194,Faraj b. Taghrī Birmish al-Zardkāsh 4194
Faraj b. al-Nāṣir Faraj 670,Faraj b. al-Nāṣir Faraj 670
