Source	Label	Target
al-Ẓāhir Jaqmaq 2	parent of	al-Nāṣirī Muḥammad 81
al-Ẓāhir Jaqmaq 2	parent of	al-Manṣūr ʿUthmān b. Jaqmaq 819
al-Ẓāhir Jaqmaq 2	parent of	al-Manṣūr ʿUthmān b. Jaqmaq 819
al-Ẓāhir Jaqmaq 2	parent of	ʾAḥmad 1381
al-Ẓāhir Jaqmaq 2	parent of	Bint al-Ẓāhir Jaqmaq 1482
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 1498
al-Ẓāhir Jaqmaq 2	parent of	Fāṭima 1502
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 1503
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 1522
al-Ẓāhir Jaqmaq 2	parent of	Khadīja bt al-Ẓāhir Jaqmaq 2320
al-Ẓāhir Jaqmaq 2	parent of	Muḥammad 2431
al-Ẓāhir Jaqmaq 2	parent of	ʾawlād Shāh Zādah bint Ibn ʿUthmān 4040
al-Ẓāhir Jaqmaq 2	parent of	Khadīja bt al-Ẓāhir Jaqmaq 2320
al-Ẓāhir Jaqmaq 2	parent of	Fāṭima 1502
al-Ẓāhir Jaqmaq 2	sibling of	ʾukht al-Ẓāhir Jaqmaq 1409
al-Ẓāhir Jaqmaq 2	sibling of	ʾakhu l-Ẓāhir Jaqmaq 1579
al-Ẓāhir Jaqmaq 2	sibling of	ʾukht al-Ẓāhir Jaqmaq 2428
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	sibling of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk mushtarawāt (Jaqmaq) 674
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk sulṭānīya julbān (Jaqmaq) 706
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk sulṭānīya qarānīṣ (Jaqmaq) 707
al-Ẓāhir Jaqmaq 2	ustādh of	Qarāja al-Ẓāhirī Jaqmaq 709
al-Ẓāhir Jaqmaq 2	ustādh of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	ustādh of	ʾaʿyān khāṣṣakīya (Jaqmaq) 757
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk ẓāhirīya Jaqmaq(īya) 1042
al-Ẓāhir Jaqmaq 2	ustādh of	Jānibak al-Ẓāhirī Nāʾib Jidda 869
al-Ẓāhir Jaqmaq 2	ustādh of	Qānī Bāy al-Jārkasī 44
al-Ẓāhir Jaqmaq 2	ustādh of	Tanam al-Muʾayyadī 227
al-Ẓāhir Jaqmaq 2	ustādh of	ʾaʿyān mamālīk ẓāhirīya Jaqmaq(īya) 2237
al-Ẓāhir Jaqmaq 2	ustādh of	ʾaʿyān mamālīk al-ʾAshraf ʾĪnāl 2250
al-Ẓāhir Jaqmaq 2	ustādh of	Shāhīn al-Sāqī al-Ẓāhirī 1653
al-Ẓāhir Jaqmaq 2	ustādh of	ʾUzbak min Ṭuṭukh al-Sāqī 876
al-Ẓāhir Jaqmaq 2	ustādh of	ʾAsanbāy al-Jamālī al-Ẓāhirī 890
al-Ẓāhir Jaqmaq 2	ustādh of	Birdibak al-Ẓāhirī al-Bajmaqdār 1091
al-Ẓāhir Jaqmaq 2	ustādh of	ʾIsbahān 3052
al-Ẓāhir Jaqmaq 2	ustādh of	Qānṣūh al-Muḥammadī al-ʾAshrafī 1106
al-Ẓāhir Jaqmaq 2	ustādh of	Lājīn al-Ẓāhirī 3611
al-Ẓāhir Jaqmaq 2	ustādh of	Sūdūn al-ʾAfram* al-Ẓāhirī 879
al-Ẓāhir Jaqmaq 2	ustādh of	Jānibak min Ṭuṭukh al-Faqīh 3210
al-Ẓāhir Jaqmaq 2	ustādh of	Timur min Maḥmūd Shāh al-Ẓāhirī 3373
al-Ẓāhir Jaqmaq 2	ustādh of	Taghrī Birdī al-Qillāwī 969
al-Ẓāhir Jaqmaq 2	ustādh of	Tanam min Baḥshāyish 1419
al-Ẓāhir Jaqmaq 2	ustādh of	Mughulbāy al-Ẓāhirī 1491
al-Ẓāhir Jaqmaq 2	ustādh of	ʾAḥmad b. Nawrūz al-Khuḍarī 1185
al-Ẓāhir Jaqmaq 2	ustādh of	ʾĀqbirdī al-Sāqī al-Ẓāhirī 1024
al-Ẓāhir Jaqmaq 2	ustādh of	Taghrī Birmish al-Jalālī 716
al-Ẓāhir Jaqmaq 2	ustādh of	Yashbak al-Sāqī al-Ẓāhirī 4001
al-Ẓāhir Jaqmaq 2	ustādh of	Yashbak al-Ẓāhirī 944
al-Ẓāhir Jaqmaq 2	ustādh of	Qarā Jānibak al-Ẓāhirī Jaqmaq 2507
al-Ẓāhir Jaqmaq 2	ustādh of	Lājīn al-Ẓāhirī Jaqmaq 1167
al-Ẓāhir Jaqmaq 2	ustādh of	Barqūq al-Nāṣirī al-Ẓāhirī 1626
al-Ẓāhir Jaqmaq 2	mamlūk (ustādh) of	ʾĪnāl al-Yūsufī al-ʾAtābak 3
al-Ẓāhir Jaqmaq 2	mamlūk (ustādh) of	al-Ẓāhir Barqūq 4
al-Ẓāhir Jaqmaq 2	mamlūk (ustādh) of	ʿAlī b. ʾĪnāl al-Yūsufī 5
al-Ẓāhir Jaqmaq 2	makhdūm of	al-ʾAshrafīya Barsbāy 82
al-Ẓāhir Jaqmaq 2	makhdūm of	mamālīk ẓāhirīya Jaqmaq(īya) 1042
al-Ẓāhir Jaqmaq 2	makhdūm of	mamālīk ẓāhirīya  937
al-Ẓāhir Jaqmaq 2	makhdūm of	Qānī Bāy al-Mashṭūb 1092
al-Ẓāhir Jaqmaq 2	makhdūm of	kuttābīya (al-Ẓāhir Jaqmaq + al-Manṣūr ʿUthmān) 1098
al-Ẓāhir Jaqmaq 2	makhdūm of	ʾaʿyān mamālīk al-ʾAshraf ʾĪnāl 2250
al-Ẓāhir Jaqmaq 2	makhdūm of	mamālīk julbān ʾashrafīya ẓāhirīya 2377
al-Ẓāhir Jaqmaq 2	makhdūm of	Zayn al-Dīn Khushqadam al-Khāṣṣakī 3706
al-Ẓāhir Jaqmaq 2	makhdūm of	ʾAḥmad b. Nawrūz al-Khuḍarī 1185
al-Ẓāhir Jaqmaq 2	makhdūm of	Shāhīn al-Ṭūghānī 775
al-Ẓāhir Jaqmaq 2	makhdūm of	ʿAbd Allāh al-Turkumānī al-Bahasnī 4011
al-Ẓāhir Jaqmaq 2	mamlūk (khidma) of	ʿAlī b. ʾĪnāl al-Yūsufī 5
al-Ẓāhir Jaqmaq 2	mamlūk (khidma) of	al-Ẓāhir Barqūq 4
al-Ẓāhir Jaqmaq 2	īnī of	Jārkas al-Qāsimī al-Muṣāriʿ 593
al-Ẓāhir Jaqmaq 2	in-law of	Kamāl al-Dīn b. al-Bārizī 99
al-Ẓāhir Jaqmaq 2	in-law of	Sūdūn al-Muḥammadī 3164
al-Ẓāhir Jaqmaq 2	zawj of	Mughul bt. al-Bārizī 319
al-Ẓāhir Jaqmaq 2	zawj of	Zaynab bt. Jarbāsh Qāshiq 555
al-Ẓāhir Jaqmaq 2	zawj of	Nafīsa bt. Muḥammad Bak 562
al-Ẓāhir Jaqmaq 2	zawj of	Bint Kurtbāy 2242
al-Ẓāhir Jaqmaq 2	zawj of	Shāh Zādah bt. Ibn ʿUthmān 2983
al-Ẓāhir Jaqmaq 2	zawj of	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085
al-Ẓāhir Jaqmaq 2	zawj of	Bint Sulaymān b. Dulghādir 2779
al-Ẓāhir Jaqmaq 2	zawj of	Fāṭima bint Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085
al-Ẓāhir Jaqmaq 2	zawj of	Mughul bt. al-Bārizī 319
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Ṭūghān al-Zardkāsh  261
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Tanbak al-Faysī 498
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Yashbak 499
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Yalbughā al-Jārkasī 521
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Yār ʿAlī al-ʿAjamī al-Ṭawīl 565
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Duqmāq al-Yashbakī 1412
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Jānibak al-ʾAshrafī al-Ẓarīf 900
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	ʾAbu l-Khayr al-Nuḥḥās 3655
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Qalamṭāy al-ʾIsḥāqī al-ʾAshrafī 972
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Ṭūghān al-Sayfī ʾĀqbirdī al-Minqār 818
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Zayn al-Dīn Khushqadam al-Khāṣṣakī 3706
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Zayn al-Dīn Khushqadam al-Khāṣṣakī 3706
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Zayn al-Dīn Khushqadam al-Khāṣṣakī 3706
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	ʿAlī b. ʿAbd Allāh 1322
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Tanam min Baḥshāyish 1419
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Jānibak al-Ẓāhirī Nāʾib Jidda 869
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Jānibak al-ʾAshrafī al-Ẓarīf 900
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	ʾAḥmad b. Nawrūz al-Khuḍarī 1185
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	ʾAsanbāy al-Jamālī al-Ẓāhirī 890
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Balabān al-Khāṣṣakī 2287
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Birdibak al-Ẓāhirī al-Bajmaqdār 1091
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Qarā Jānibak al-Ẓāhirī Jaqmaq 2507
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	khāṣṣakī of	al-Ẓāhir Barqūq 4
al-Ẓāhir Jaqmaq 2	mamlūk (tājir) of	Kazlak 3677
al-Ẓāhir Jaqmaq 2	relative of	Muḥammad b. al-Fakhrī ʿUthmān 3180
al-Ẓāhir Jaqmaq 2	relative of	Mamjiq al-Nawrūzī 598
al-Ẓāhir Jaqmaq 2	ḥam of	ʾUzbak min Ṭuṭukh al-Sāqī 876
al-Ẓāhir Jaqmaq 2	ḥam of	Kamāl al-Dīn b. al-Bārizī 99
al-Ẓāhir Jaqmaq 2	ṣihr of	Jarbāsh Qāshiq al-Karīmī 51
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Muḥammad 1498 1499
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Fāṭima (1502) 1612
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Muḥammad (1503) 1613
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Muḥammad (1522) 1614
al-Ẓāhir Jaqmaq 2	nadīm of	Muḥammad al-Ṣaghīr 120
al-Ẓāhir Jaqmaq 2	nadīm of	Muḥammad b. ʾAmīr ʿAlī 1355
