30/04/0816	Taghrī Birdī Sayyidī al-Ṣaghīr 65	nāʾib (Ḥamā)	becomes brother	Qurqmās Sayyidī al-Kabīr 53
08/07/0816	ʾIbrāhīm b. al-Muʾayyad Shaykh 217	unknown	marries	Satīta bt. al-Nāṣir Faraj 219
28/02/0818	Fasilīs* 394	foreign ruler	is related through marriage with	Ḥusayn b. Nuʿayr 168
28/02/0818	Ḥusayn b. Nuʿayr 168	unknown	marries	Bint Fasilīs* 395
12/03/0818	unknown 0	unknown	is related through marriage with	Muḥammad b.ʾAlṭunbughā al-Qurmushī 399
12/03/0818	Muḥammad b.ʾAlṭunbughā al-Qurmushī 399	unknown	marries	Satīta bt. al-Nāṣir Faraj 219
01/01/0840	Jānibak al-Ṣūfī 83	unknown	marries	Nafīsa bt. Muḥammad Bak 562
04/11/0843	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Nafīsa bt. Muḥammad Bak 562
04/11/0843	Muḥammad Bak b. Dulghādir 556	unknown	is related through marriage with	al-Ẓāhir Jaqmaq 2
16/06/0844	Tanbak al-Ẓāhirī 592	unknown	is ustādh	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179
01/04/0846	al-Ẓāhir Jaqmaq 2	sulṭān	is intimate with	Muḥammad al-Ṣaghīr 120
01/01/0799	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846
01/01/0799	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	Ṭūkh 851
01/01/0825	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	Ṭūkh 851
01/01/0825	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846
01/01/0825	al-Nāṣir Faraj b. Barqūq 14	sulṭān	is ustādh	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846
01/01/0816	al-Nāṣir Faraj b. Barqūq 14	sulṭān	is ustādh	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846
01/01/0816	al-Nāṣir Faraj b. Barqūq 14	sulṭān	is intimate with	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846
01/08/0815	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
03/12/0820	Fakhr al-Dīn b. ʾAbi l-Faraj 214	unknown	marries	jārīya sulṭān (Shaykh) 936
03/12/0820	al-Muʾayyad Shaykh 12	sulṭān	is related through marriage with	Fakhr al-Dīn b. ʾAbi l-Faraj 214
01/01/0825	al-Ẓāhir Ṭaṭar 441	unknown	is ustādh	ʾĪnāl al-Ẓāhirī 947
08/05/0857	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	sulṭān	is related through marriage with	Yūnus al-ʾĀqbāy  862
13/05/0825	Badr al-Dīn Ḥusayn 913	unknown	is related through marriage with	ʾUzbak al-Ẓāhīrī al-Dawādār 914
01/01/0825	al-Ẓāhir Ṭaṭar 441	unknown	is ustādh	ʾUzbak al-Ẓāhīrī al-Dawādār 914
11/05/0821	al-Muʾayyad Shaykh 12	sulṭān	becomes parent	Mūsā b. Shaykh 1073
11/05/0821	Quṭlubāy 1074	unknown	becomes parent	Mūsā b. Shaykh 1073
16/07/0821	al-Muʾayyad Shaykh 12	sulṭān	becomes parent	Muḥammad b. Shaykh 1118
16/07/0821	Khawand 1116	unknown	becomes parent	Muḥammad b. Shaykh 1118
16/11/0826	al-ʾAshraf Barsbāy 24	unknown	is ustādh	Jānibak al-Khāzindār al-Dawādār 1006
01/06/0860	Jānibak Qarā l-ʾAshrafī 1148	unknown	marries	Bint al-Nāṣirī Muḥammad b. al-Thallāj 1147
15/10/0801	ʾĪnāl al-Yūsufī al-ʾAtābak 3	unknown	is ustādh	al-Ẓāhir Jaqmaq 2
15/10/0801	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-Ẓāhir Jaqmaq 2
