source	target	weight	type
unknown 0	Jakam min ʿIwaḍ al-Ẓāhirī 1277	15	sibling of
al-Ẓāhir Jaqmaq 2	al-Nāṣirī Muḥammad 81	20	parent of
al-Ẓāhir Jaqmaq 2	al-Manṣūr ʿUthmān b. Jaqmaq 819	20	parent of
al-Ẓāhir Jaqmaq 2	al-Manṣūr ʿUthmān b. Jaqmaq 819	20	parent of
al-Ẓāhir Jaqmaq 2	ʾAḥmad 1381	20	parent of
al-Ẓāhir Jaqmaq 2	Bint al-Ẓāhir Jaqmaq 1482	20	parent of
al-Ẓāhir Jaqmaq 2	Muḥammad 1498	20	parent of
al-Ẓāhir Jaqmaq 2	Fāṭima 1502	20	parent of
al-Ẓāhir Jaqmaq 2	Muḥammad 1503	20	parent of
al-Ẓāhir Jaqmaq 2	Muḥammad 1522	20	parent of
al-Ẓāhir Jaqmaq 2	Khadīja bt al-Ẓāhir Jaqmaq 2320	20	parent of
al-Ẓāhir Jaqmaq 2	Muḥammad 2431	20	parent of
al-Ẓāhir Jaqmaq 2	ʾawlād Shāh Zādah bint Ibn ʿUthmān 4040	20	parent of
al-Ẓāhir Jaqmaq 2	Khadīja bt al-Ẓāhir Jaqmaq 2320	20	parent of
al-Ẓāhir Jaqmaq 2	Fāṭima 1502	20	parent of
al-Ẓāhir Jaqmaq 2	ʾukht al-Ẓāhir Jaqmaq 1409	15	sibling of
al-Ẓāhir Jaqmaq 2	ʾakhu l-Ẓāhir Jaqmaq 1579	15	sibling of
al-Ẓāhir Jaqmaq 2	ʾukht al-Ẓāhir Jaqmaq 2428	15	sibling of
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
al-Ẓāhir Jaqmaq 2	Jārkas al-Qāsimī al-Muṣāriʿ 593	15	sibling of
