unknown 0	ustādh of	Baysaq al-Shaykhī al-Ẓāhirī 1885
unknown 0	ustādh of	Jaqmaq al-ʾArghūn Shāwī 34
unknown 0	ustādh of	Jaqmaq al-ʾArghūn Shāwī 34
unknown 0	ustādh of	Sūdūn al-Ṭurunṭāy 1732
unknown 0	ustādh of	Fāris al-Quṭluqjāwī al-Ḥājib 3696
unknown 0	ustādh of	Qānī Bāy al-Jārkasī 44
unknown 0	ustādh of	Muqbil al-Ḥusāmī al-Dawādār 946
unknown 0	ustādh of	Yashbak al-Nawrūzī 1063
unknown 0	ustādh of	Yashbak al-Karakī 4635
unknown 0	ustādh of	Yashbak al-Ḥamzāwī 1126
unknown 0	ustādh of	ʾIshiqtamur al-Nāṣirī 1709
unknown 0	makhdūm of	Barsbāy al-Bajāsī 894
unknown 0	makhdūm of	Yashbak al-Nāṣirī 3648
unknown 0	makhdūm of	ʾĪnāl al-Jakamī 126
unknown 0	makhdūm of	Jawhar al-Qunuqbāʾī al-Khāzindār 606
unknown 0	makhdūm of	Subruj al-Kumushbughāwī 1699
unknown 0	makhdūm of	ʾIbrāhīm b. al-Mara 134
unknown 0	makhdūm of	Ṭūkh al-Jakamī 3756
unknown 0	makhdūm of	ʿAbd Allāh b. Rīsha 4220
unknown 0	makhdūm of	ʿAbd al-Razzāq b. al-Hayṣam 183
unknown 0	makhdūm of	ʿAbd al-Karīm b. Kātib Jakam 1226
unknown 0	makhdūm of	Shādibak al-Jakamī 782
unknown 0	makhdūm of	Ṣandal al-Manjakī 1775
unknown 0	makhdūm of	ʿAlāʾ al-Dīn ʿAlī al-Bīrī 4357
unknown 0	makhdūm of	ʿAlī b. Muflaḥ 56
unknown 0	makhdūm of	ʿAlī b. Muflaḥ 56
unknown 0	makhdūm of	ʿUmar b. Qāymāz 1818
unknown 0	makhdūm of	Faraj al-Ḥalabī 1798
unknown 0	makhdūm of	Faḍl Allāh b. al-Ramlī 4421
unknown 0	makhdūm of	Fayrūz al-Ruknī 4422
unknown 0	makhdūm of	Qānī Bāy al-Bahlawān 277
unknown 0	makhdūm of	Qujqār al-Qurdumī 247
unknown 0	makhdūm of	Kizil al-Sūdūnī al-Muʿallim  1411
unknown 0	makhdūm of	Kumushbughā Ṭūlū 906
unknown 0	makhdūm of	Badr al-Dīn al-Ṭawkhī 4550
unknown 0	makhdūm of	ʾIftikhār al-Dīn Yāqūt 997
unknown 0	makhdūm of	Yalbughā al-Jārkasī 521
unknown 0	makhdūm of	Jamāl al-Dīn Yūsuf al-ʾUstādār 239
unknown 0	makhdūm of	Yūnus al-Ruknī 856
unknown 0	tājir (mamlūk) of	ʾAlṭunbughā al-Sharīfī al-Bajmaqdār 538
unknown 0	tājir (mamlūk) of	ʾAlṭunbughā al-Sharīfī al-Bajmaqdār 538
unknown 0	tājir (mamlūk) of	Fayrūz al-Nawrūzī 708
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk mushtarawāt (Jaqmaq) 674
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk sulṭānīya julbān (Jaqmaq) 706
al-Ẓāhir Jaqmaq 2	ustādh of	mamālīk sulṭānīya qarānīṣ (Jaqmaq) 707
al-Ẓāhir Jaqmaq 2	ustādh of	Qarāja al-Ẓāhirī Jaqmaq 709
al-Ẓāhir Jaqmaq 2	ustādh of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	ustādh of	ʾaʿyān khāṣṣakīya (Jaqmaq) 757
