al-Ẓāhir Jaqmaq 2	ʾamīr 100 (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	ʾamīr kabīr (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	raʾs maymana (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	ʾamīr (general)
al-Ẓāhir Jaqmaq 2	ʾamīr 010 (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	ʾamīr 040 (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	ʾatābak ʿasākir (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	ʾamīr 100 (al-Qāhira/Cairo)
al-Ẓāhir Jaqmaq 2	ʾamīr ʾākhūr kabīr (sulṭān)
ʾĪnāl al-Yūsufī al-ʾAtābak 3	ʾatābak ʿasākir (Dimashq/Damascus)
ʾĪnāl al-Yūsufī al-ʾAtābak 3	ʾatābak ʿasākir (al-Qāhira/Cairo)
al-Ẓāhir Barqūq 4	ʾatābak ʿasākir (al-Qāhira/Cairo)
al-Ẓāhir Barqūq 4	jund
al-Ẓāhir Barqūq 4	ʾamīr 040 (al-Qāhira/Cairo)
al-Ẓāhir Barqūq 4	ʾamīr 100 (al-Qāhira/Cairo)
al-Ẓāhir Barqūq 4	ʾamīr ʾākhūr (general)
al-Ẓāhir Barqūq 4	ʾamīr kabīr (al-Qāhira/Cairo)
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	ʾamīr 100 (al-Qāhira/Cairo)
al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	raʾs maysara (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	ʾatābak ʿasākir (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	ʾamīr kabīr (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	ʾamīr 040 (Dimashq/Damascus)
Qurqmās al-Shaʿbānī 11	ʾamīr 100 (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	ʾamīr 040 (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	khāṣṣakīya (sulṭān)
Qurqmās al-Shaʿbānī 11	ʾamīr 010 (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	ʾamīr 040 (al-Qāhira/Cairo)
Qurqmās al-Shaʿbānī 11	ʾamīr 100 (al-Qāhira/Cairo)
al-Muʾayyad Shaykh 12	ʾamīr 010 (al-Qāhira/Cairo)
al-Muʾayyad Shaykh 12	ʾamīr 040 (al-Qāhira/Cairo)
al-Muʾayyad Shaykh 12	ʾamīr 100 (al-Qāhira/Cairo)
al-Muʾayyad Shaykh 12	ʾamīr kabīr (al-Qāhira/Cairo)
al-Muʾayyad Shaykh 12	ʾatābak ʿasākir (al-Qāhira/Cairo)
al-Muʾayyad Shaykh 12	ʾamīr (general)
al-Muʾayyad Shaykh 12	ʾamīr (general)
Fayrūz al-Jārkasī al-Sāqī 19	ʾamīr (general)
Fayrūz al-Jārkasī al-Sāqī 19	baṭṭāl
Sūdūn al-Jakamī 20	ʾamīr 010 (al-Qāhira/Cairo)
Sūdūn al-Jakamī 20	baṭṭāl
ʾĪnāl al-ʾAshrafī al-Faqīh 21	baṭṭāl
ʾĪnāl al-ʾAshrafī al-Faqīh 21	ʾamīr 100 (al-Qāhira/Cairo)
ʾĪnāl al-ʾAshrafī al-Faqīh 21	ʾamīr 010 (al-Qāhira/Cairo)
ʾĪnāl al-ʾAshrafī al-Faqīh 21	ʾamīr 040 (al-Qāhira/Cairo)
Khujā Sūdūn al-Muʾayyadī 23	baṭṭāl
al-ʾAshraf Barsbāy 24	ʾamīr 100 (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾamīr (general)
al-ʾAshraf Barsbāy 24	ʾamīr (Dimashq/Damascus)
al-ʾAshraf Barsbāy 24	ʾamīr kabīr (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾamīr 100 (Dimashq/Damascus)
al-ʾAshraf Barsbāy 24	baṭṭāl
al-ʾAshraf Barsbāy 24	ʾamīr 010 (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾamīr 040 (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾamīr 100 (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾamīr 040 (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾamīr 010 (al-Qāhira/Cairo)
al-ʾAshraf Barsbāy 24	ʾatābak ʿasākir (al-Qāhira/Cairo)
ʾĀqbughā al-Timrāzī  25	ʾatābak ʿasākir (al-Qāhira/Cairo)
ʾĀqbughā al-Timrāzī  25	ʾamīr 100 (al-Qāhira/Cairo)
ʾĀqbughā al-Timrāzī  25	ʾamīr kabīr (al-Qāhira/Cairo)
ʾĀqbughā al-Timrāzī  25	ʾamīr 010 (al-Qāhira/Cairo)
ʾĀqbughā al-Timrāzī  25	ʾamīr 040 (al-Qāhira/Cairo)
Jānim al-ʾAshrafī  26	ʾamīr 100 (al-Qāhira/Cairo)
Jānim al-ʾAshrafī  26	ʾamīr 100 (al-Qāhira/Cairo)
Jānim al-ʾAshrafī  26	ʾamīr 040 (al-Qāhira/Cairo)
Jānim al-ʾAshrafī  26	baṭṭāl
Timrāz al-Qirmishī  27	ʾamīr 100 (al-Qāhira/Cairo)
Timrāz al-Qirmishī  27	ʾamīr 100 (al-Qāhira/Cairo)
