unknown 0	patron of	ʾAqbāy al-Yashbakī al-Dawādār 3440
unknown 0	patron of	ʿAbd al-Karīm b. Kātib Jakam 1226
unknown 0	patron of	ʿAbd al-Karīm b. Kātib al-Manākh 570
unknown 0	patron of	ʿAbd al-Karīm b. Kātib al-Manākh 570
unknown 0	patron of	ʿAbd al-Wahhāb al-Fawwī 2399
unknown 0	patron of	ʿAbd al-Wahhāb al-Khaṭīr 2774
unknown 0	patron of	Muḥammad al-Ḥillāwī 2412
unknown 0	patron of	Jamāl al-Dīn al-ʾUstādār 1763
unknown 0	patron of	Jamāl al-Dīn Maḥmūd al-Qayṣarī 2485
unknown 0	patron of	Zayn al-Dīn Murjān al-Maḥmūdī 1043
unknown 0	patron of	ʾAḥmad b. Quṭayna 2379
unknown 0	patronized by 	ʾUzbak al-Ẓāhīrī al-Dawādār 914
unknown 0	patronized by 	ʾUzbak al-Ẓāhīrī al-Dawādār 914
unknown 0	patronized by 	ʾUzbak al-Ẓāhīrī al-Dawādār 914
unknown 0	patronized by 	ʾUzbak al-Ẓāhīrī al-Dawādār 914
unknown 0	patronized by 	Baybughā al-Muẓaffarī 74
unknown 0	patronized by 	Baybughā al-Muẓaffarī 74
unknown 0	patron (ṣaḥāba) of	ʾAḥmad b. al-Muḥammara 1374
unknown 0	patron (ṣaḥāba) of	Ṣadr al-Dīn al-Ḥusaynī 4593
unknown 0	ṣāḥib of (=)	Walī al-Dīn Muḥammad al-Safṭī 111
al-Ẓāhir Jaqmaq 2	patron of	Muḥammad al-Ṣaghīr 120
al-Ẓāhir Jaqmaq 2	patron of	ʿAlāʾ al-Dīn b. ʾĀqbars 275
al-Ẓāhir Jaqmaq 2	patron of	khāṣṣakīya ʾAshrafīya (Jaqmaq) 845
al-Ẓāhir Jaqmaq 2	patron of	Taghrī Birmish al-Turkmānī 110
al-Ẓāhir Jaqmaq 2	patron of	Ḥasan Shāh 3249
al-Ẓāhir Jaqmaq 2	patron of	Ibn Jānbak 3283
al-Ẓāhir Jaqmaq 2	patron of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	patron of	ʾAbū Bakr al-Muṣāriʿ 3686
al-Ẓāhir Jaqmaq 2	patron of	Muḥammad al-Kātib al-Rūmī 3112
al-Ẓāhir Jaqmaq 2	patron of	Jānibak al-Ẓāhirī Nāʾib Jidda 869
