source,target,weight
Amenah Fairouz Abdulkarim,Maxim Romanov,1
Anthony T. Quickel,Maxim Romanov,2
Christian Mauder,Maxim Romanov,1
Konrad Hirschler,Maxim Romanov,2
David Larsen,Maxim Romanov,2
Elise Franssen,Maxim Romanov,2
Iria Santas,Maxim Romanov,1
Karima Benaicha,Maxim Romanov,1
Kate Tuley,Maxim Romanov,1
Meia Walravens,Maxim Romanov,1
Gowaart Van Den Bossche,Maxim Romanov,2
Shuaib Ally,Maxim Romanov,2
Stephanie Luescher,Maxim Romanov,1
Víctor De Castro León,Maxim Romanov,1
Vincent Chen,Maxim Romanov,1
Kenneth Goudie,Maxim Romanov,1
Zacharie de Pierrepont,Maxim Romanov,1
Mohamed Maslouh,Maxim Romanov,1
Maya Termonia,Maxim Romanov,2
