LEN	TAG	REGEX
04:16	@TOP@RAHBAMALIKIBNTAWQ_404E349N_S#	[بو]*?رحب[هة] ?ملك ?[إأٱآا]بن ?طوق	(رحبة ملك ابن طوق)
03:18	@TOP@KHALIJAMIRMUMININ_317E305N_W#	[بو]*?خليج ?[إأٱآا]مير ?[إأٱآا]لم[ؤئءوي]منين	(خليج امير المءمنين)
03:16	@TOP@JAZIRABANUZAGHANNAYA_030E367N_S#	[بو]*?جزير[هة] ?بنو ?زغن[إأٱآا]ي[هة]	(جزيرة بنو زغناية)
03:15	@TOP@RIBATDHUQARNAYN_405E385N_S#	[بو]*?رب[إأٱآا]ط ?ذو ?[إأٱآا]لقرنين	(رباط ذو القرنين)
03:15	@TOP@QALAIBNKANDAMAN_451E415N_S#	[بو]*?قلع[هة] ?[إأٱآا]بن ?كندم[إأٱآا]ن	(قلعة ابن كندمان)
03:15	@TOP@KHARAIBABUHALIMA_255E314N_S#	[بو]*?خر[إأٱآا][ؤئءوي]ب ?[إأٱآا]بو ?حليم[هة]	(خراءب ابو حليمة)
03:15	@TOP@JIBALMADINFIDDA_568E291N_O#	[بو]*?جب[إأٱآا]ل ?معدن ?[إأٱآا]لفض[هة]	(جبال معدن الفضة)
03:15	@TOP@JARAWAABUAYSH_022W350N_S#	[بو]*?جر[إأٱآا]و[هة] ?[إأٱآا]بو ?[إأٱآا]لعيش	(جراوة ابو العيش)
03:14	@TOP@TIHBANUISRAIL_338E291N_R#	[بو]*?تيه ?بنو ?[إأٱآا]سر[إأٱآا][ؤئءوي]ل	(تيه بنو اسراءل)
03:14	@TOP@SUQYABANUGHIFAR_392E235N_S#	[بو]*?سق[يى][إأٱآا][ؤئءوي] ?بنو ?غف[إأٱآا]ر	(سقياء بنو غفار)
03:14	@TOP@QARYAIBNBUNDAR_530E301N_S#	[بو]*?قري[هة] ?[إأٱآا]بن ?بند[إأٱآا]ر	(قرية ابن بندار)
03:14	@TOP@MAKNAABUMANSUR_091E368N_R#	[بو]*?مكن[هة] ?[إأٱآا]بو ?منصور	(مكنة ابو منصور)
03:14	@TOP@MAHALLAABUKHURASHA_306E310N_S#	[بو]*?محل[هة] ?[إأٱآا]بو ?خر[إأٱآا]ش[هة]	(محلة ابو خراشة)
03:14	@TOP@JAZIRASIYAHKUH_509E443N_R#	[بو]*?جزير[هة] ?س[يى][إأٱآا]ه ?كوه	(جزيرة سياه كوه)
03:14	@TOP@JAZIRAJABALTARIQ_053W361N_S#	[بو]*?جزير[هة] ?جبل ?ط[إأٱآا]رق	(جزيرة جبل طارق)
03:14	@TOP@JAZIRAABUSHARIK_109E370N_S#	[بو]*?جزير[هة] ?[إأٱآا]بو ?شريك	(جزيرة ابو شريك)
03:13	@TOP@RIBATIBNRUSTAM_514E330N_S#	[بو]*?رب[إأٱآا]ط ?[إأٱآا]بن ?رستم	(رباط ابن رستم)
03:13	@TOP@RIBATABSHUTURAN_559E332N_S#	[بو]*?رب[إأٱآا]ط ?[إأٱآا]ب ?شتر[إأٱآا]ن	(رباط اب شتران)
03:13	@TOP@RIBATABDALLAH_639E313N_S#	[بو]*?رب[إأٱآا]ط ?عبد ?[إأٱآا]لله	(رباط عبد الله)
03:13	@TOP@QASRIBNHUBAYRA_443E327N_S#	[بو]*?قصر ?[إأٱآا]بن ?هبير[هة]	(قصر ابن هبيرة)
03:13	@TOP@QASRBANUWARDAS_084W383N_S#	[بو]*?قصر ?بنو ?ورد[إأٱآا]س	(قصر بنو ورداس)
03:13	@TOP@NAHRABIASAD_470E309N_W#	[بو]*?نهر ?[إأٱآا]ب[يى] ?[إأٱآا]ل[إأٱآا]سد	(نهر ابي الاسد)
