MATCH	URIS	TOPONYMS
رندة	RUNDA_051W367N_S	رندة
وباربونة	ARBUNA_030E431N_S	أربونة
وبالمحدثة	MUHDATHA_371E315N_S,MUHDATHA_374E277N_S	المحدثة : المحدثة
لزانبوك	ZANBUQ_619E309N_S	زانبوق
سلومك	SALUMAK_599E346N_S	سلومك
وبرقعيد	BARQAID_420E369N_S	برقعيد
الصفراء	SAFRA_389E240N_S	الصفراء
بسطام	BISTAM_550E364N_S	بسطام
وبخيوه	KHIWAH_603E413N_S	خيوه
وببصنا	BASINNA_483E319N_S	بصنا
ببسجرد	BASHJIRT_541E500N_R	بشجرت
وبجرمق	JARMAQ_549E335N_S	جرمق
لاربل	IRBIL_440E361N_S	إربيل
لقرطبة	QURTUBA_047W379N_S	قرطبة
لالمريزجان	MURAYZIJAN_543E288N_S	المريزجان
لدماوند	DUMMAWAND_520E357N_R	دماوند
بنفزاوة	NAFZAWA_092E336N_R	نفزاوة
وراسالعين	RASAYN_380E250N_S,RASAYN_400E368N_S	رأس العين : رأس العين
بكردكان	KURDAKAN_556E297N_S	كردكان
وبالحصين	HUSAYN_407E356N_S	الحصين
والشبيكة	SHUBAYKA_415E224N_S	الشبيكة
سفيد	ISBIDH_599E299N_S	إسبيذ
وبالبهرج	BAHRAJ_606E272N_S	البهرج
وجبروان	JABRAWAN_456E369N_S	جبروان
وجرندة	JIRUNDA_028E419N_S	جرندة
وتونكث	TUNKATH_702E410N_S	تونكث
وبقطربل	QATRABBUL_442E333N_S	قطربل
بخاس	KHASH_705E410N_S	خاش
وجبحماد	JUBBHAMMAD_632E385N_S	جب حماد
بتربة	TURABA_416E212N_S,TURABA_415E210N_R	تربة : تربة
وسكةالحمام	SIKKAHAMMAM_267E311N_S	سكة الحمام
بكندك	KANDAK_667E383N_S	كندك
ضنكان	DANKAN_423E175N_R	ضنكان
وحجرصالح	HIJRSALIH_379E268N_S	حجر صالح
بغبيراء	GHUBAYRA_569E297N_S	غبيراء
لقصرابننازع	QASRIBNNAZI_403E374N_S	قصر إبن نازع
بحيرةالبرلس	BUHAYRABURULLUS_308E314N_W	بحيرة البرلس
وبرباطعبدالله	RIBATABDALLAH_639E313N_S	رباط عبد الله
ببيشكند	BISKAND_583E360N_S	بيسكند
بذخشان	BADHAKHSHAN_707E375N_R	بذخشان
وبطرنو	BATARNWA_149E375N_S	بطرنوة
وباصطخر	ISTAKHR_529E299N_S	إصطخر
لبستنفروش	BUSHTAFRUSH_592E361N_S	بشتفروش
وبرباطحسن	RIBATHASAN_622E405N_S	رباط حسن
باسنا	ASNA_325E253N_S	أسنا
ونهرجندرور	NAHRJANDARUR_731E318N_W	نهر جندرور
باراجان	ARRAJAN_502E306N_S	أراجان
والبوزجان	BUZJAN_606E351N_S	البوزجان
ومخاضةالبلاط	MAKHADABALAT_060W398N_S	مخاضة البلاط
بتلفراشة	TALLFARASHA_413E369N_S	تل فراشة
وفورنمذ	BURNAMADH_681E399N_S	بورنمذ
وبحيرةالمنتنة	BUHAYRAMUNTINA_354E313N_W	بحيرة المنتنة
لبادس	BADIS_066E347N_S	بادس
بواديملوية	WADIMALWIYYA_036W333N_W	وادي ملوية
وارجونة	ARJUNA_040W379N_S	أرجونة
وبقلنسوة	QALANSUWA_349E322N_S	قلنسوة
وبمزداخقان	MAZDAKHKAN_595E423N_S	مزداخكان
وواديالسباع	WADISIBA_409E344N_S	وادي السباع
بالبارة	BARA_365E356N_S	البارة
وبلرم	BALARM_133E381N_S	بلرم
لكرخة	KARJA_481E324N_S	كرجة
بشمكور	SHAMKUR_460E409N_S	شمكور
ووينكرد	WINKARD_684E405N_S	وينكرد
بوقا	BUQA_363E347N_R	بوقا
وبدبا	DABA_562E255N_S	دبا
لسارغ	SARIGH_752E428N_S	سارغ
لبلة	LABLA_066W373N_S	لبلة
الحديثة	HADITHA_423E341N_S,HADITHA_433E360N_S	الحديثة : الحديثة
وبماكسين	MIKISIN_407E357N_S	ميكسين
