URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
ABARKATH_673E397N_S	Mawarannahr_RE	Abārkaṯ	Abarkath|Barkath	NA	capitals	67.38308	39.79611	أباركث	أباركث|بركاث	اباركث
ABYAYN_449E131N_S	Yaman_RE	Abyāyn	Abyayn	NA	capitals	44.96348	13.14229	أبياين	أبياين	ابياين
ITIL_480E462N_S	Khazar_RE	Itil	Itil|Atil	NA	capitals	48.0869	46.2788	إتل	إتل|أتل	اتل
AHSA_495E253N_S	JaziratArab_RE	al-Aḥsāʾ	al-Ahsa	NA	capitals	49.54137	25.34929	الأحساء	الأحساء	احساء
AKHUR_557E391N_S	Daylam_RE	Āḫur	Akhur	NA	capitals	55.71277	39.19825	آخر	آخر	اخر
AKHSISAK_652E378N_S	Mawarannahr_RE	Aḫsīsak	Akhsisak	NA	capitals	65.26937	37.888	أخسيسك	أخسيسك	اخسيسك
AKHSHIKATH_713E409N_S	Mawarannahr_RE	Aḫšīkaṯ	Akhshikath	NA	capitals	71.36392	40.91733	أخشيكث	أخشيكث	اخشيكث
ADHRIAT_360E326N_S	Sham_RE	Aḏriʿāt	Adhriat	NA	capitals	36.09087	32.61046	أذرعات	أذرعات	اذرعات
ADHRUH_357E303N_S	Sham_RE	Aḏrūḥ	Adhruh	NA	capitals	35.75502	30.33962	أذروح	أذروح	اذروح
ARRAJAN_502E306N_S	Fars_RE	Arrāǧān	Arrajan	NA	capitals	50.29766	30.6103	أراجان	أراجان|ارجان	اراجان
AZADHWAR_565E366N_S	Khurasan_RE	Azāḏwār	Azadhwar	NA	capitals	56.59926	36.68546	أزاذوار	أزاذوار	ازاذوار
ISBIJAB_697E422N_S	Mawarannahr_RE	Isbīǧāb	Isbijab	NA	capitals	69.75409	42.23062	إسبيجاب	إسبيجاب	اسبيجاب
ASFUZAR_621E332N_S	Khurasan_RE	al-Asfuzār	al-Asfuzar	NA	capitals	62.12974	33.24402	الأسفزار	الأسفزار	اسفزار
ISKANDARIYYA_299E311N_S	Misr_RE	al-Iskandariyyaŧ	al-Iskandariyya	NA	capitals	29.90981	31.1949	الإسكندرية	الإسكندرية	اسكندرية
USWAN_329E241N_S	Misr_RE	Uswān	Uswan	NA	capitals	32.98286	24.10701	أسوان	أسوان	اسوان
